impl,n,block,warmup,iters,mean_ms,std_ms,var_ms,min_ms,max_ms,mean_gflops
gemm_naive,512,16,3,10,0.200294,0.004928,0.000024,0.194560,0.209920,1340.20
gemm_naive,1024,16,3,10,1.420595,0.003863,0.000015,1.413120,1.426432,1511.68
gemm_naive,2048,16,3,10,10.677146,0.485753,0.235956,10.290176,11.276288,1609.03
gemm_naive,4096,16,3,10,87.788340,0.154549,0.023885,87.540733,87.922691,1565.57
gemm_naive,8192,16,3,10,706.658099,1.010664,1.021442,705.754089,709.097473,1555.93
