N,p,Pr,Pc,rep,rank,seq,t_start,t_end,phase,kind,k,peer,tag,dur_sec
8000,8,4,2,1,4,0,0.000000000,0.516069984,scatter_a,recv,0,0,100,0.516069984
8000,8,4,2,1,4,1,0.516073264,0.663846981,k_loop,send,0,5,100,0.147773717
8000,8,4,2,1,4,2,0.663849328,0.663869056,k_loop,alloc,0,-1,200,0.000019728
8000,8,4,2,1,4,3,0.663869463,1.965803889,k_loop,recv,0,0,200,1.301934426
8000,8,4,2,1,4,4,1.965811057,233.554259037,k_loop,compute,0,-1,-1,231.588447980
8000,8,4,2,1,4,5,233.554268442,233.554298323,k_loop,alloc,1,-1,101,0.000029881
8000,8,4,2,1,4,6,233.554298781,233.637754793,k_loop,recv,1,5,101,0.083456012
8000,8,4,2,1,4,7,233.647584326,233.647598216,k_loop,alloc,1,-1,201,0.000013890
8000,8,4,2,1,4,8,233.647599470,235.464387495,k_loop,recv,1,2,201,1.816788025
8000,8,4,2,1,4,9,235.464389895,466.701813148,k_loop,compute,1,-1,-1,231.237423253
8000,8,4,2,1,4,10,466.717136695,467.665735534,gather,send,-1,0,300,0.948598839
