N,p,Pr,Pc,rep,rank,seq,t_start,t_end,phase,kind,k,peer,tag,dur_sec
8000,64,8,8,1,13,0,0.000000000,0.166344401,scatter_a,recv,5,0,100,0.166344401
8000,64,8,8,1,13,1,0.166346510,0.863706371,scatter_b,recv,1,0,200,0.697359861
8000,64,8,8,1,13,2,0.863712745,0.863725129,k_loop,alloc,0,-1,100,0.000012384
8000,64,8,8,1,13,3,0.863725739,0.869126497,k_loop,recv,0,8,100,0.005400758
8000,64,8,8,1,13,4,0.869128915,0.869140952,k_loop,alloc,0,-1,200,0.000012037
8000,64,8,8,1,13,5,0.869141394,1.463018578,k_loop,recv,0,5,200,0.593877184
8000,64,8,8,1,13,6,1.463020835,4.018556413,k_loop,compute,0,-1,-1,2.555535578
8000,64,8,8,1,13,7,4.019150074,4.019176033,k_loop,alloc,1,-1,101,0.000025959
8000,64,8,8,1,13,8,4.019177032,9.436499584,k_loop,recv,1,9,101,5.417322552
8000,64,8,8,1,13,9,9.436523607,9.635192994,k_loop,send,1,5,201,0.198669387
8000,64,8,8,1,13,10,9.635195634,9.642273039,k_loop,send,1,21,201,0.007077405
8000,64,8,8,1,13,11,9.642274220,9.649184436,k_loop,send,1,29,201,0.006910216
8000,64,8,8,1,13,12,9.649185321,9.654584108,k_loop,send,1,37,201,0.005398787
8000,64,8,8,1,13,13,9.654585455,9.660814033,k_loop,send,1,45,201,0.006228578
8000,64,8,8,1,13,14,9.660814957,9.667097649,k_loop,send,1,53,201,0.006282692
8000,64,8,8,1,13,15,9.667098595,9.683223595,k_loop,send,1,61,201,0.016125000
8000,64,8,8,1,13,16,9.683225052,12.237215675,k_loop,compute,1,-1,-1,2.553990623
8000,64,8,8,1,13,17,12.237238774,12.237241211,k_loop,alloc,2,-1,102,0.000002437
8000,64,8,8,1,13,18,12.237241586,17.628816356,k_loop,recv,2,10,102,5.391574770
8000,64,8,8,1,13,19,17.629350719,17.629370102,k_loop,alloc,2,-1,202,0.000019383
8000,64,8,8,1,13,20,17.629370824,17.634976679,k_loop,recv,2,21,202,0.005605855
8000,64,8,8,1,13,21,17.634995330,20.351754145,k_loop,compute,2,-1,-1,2.716758815
8000,64,8,8,1,13,22,20.351758352,20.351759184,k_loop,alloc,3,-1,103,0.000000832
8000,64,8,8,1,13,23,20.351759541,25.700518074,k_loop,recv,3,11,103,5.348758533
8000,64,8,8,1,13,24,25.700533939,25.700534553,k_loop,alloc,3,-1,203,0.000000614
8000,64,8,8,1,13,25,25.700535054,25.842421854,k_loop,recv,3,29,203,0.141886800
8000,64,8,8,1,13,26,25.842424179,28.566781245,k_loop,compute,3,-1,-1,2.724357066
8000,64,8,8,1,13,27,28.566785498,28.566786057,k_loop,alloc,4,-1,104,0.000000559
8000,64,8,8,1,13,28,28.566786450,33.806231392,k_loop,recv,4,12,104,5.239444942
8000,64,8,8,1,13,29,33.806234328,33.806234781,k_loop,alloc,4,-1,204,0.000000453
8000,64,8,8,1,13,30,33.806235241,34.169106003,k_loop,recv,4,37,204,0.362870762
8000,64,8,8,1,13,31,34.169113875,36.922683659,k_loop,compute,4,-1,-1,2.753569784
8000,64,8,8,1,13,32,36.922686752,41.923718170,k_loop,send,5,8,105,5.001031418
8000,64,8,8,1,13,33,41.923720904,41.928963049,k_loop,send,5,9,105,0.005242145
8000,64,8,8,1,13,34,41.928966174,42.199103519,k_loop,send,5,10,105,0.270137345
8000,64,8,8,1,13,35,42.199113030,42.201607984,k_loop,send,5,11,105,0.002494954
8000,64,8,8,1,13,36,42.201608486,42.206561516,k_loop,send,5,12,105,0.004953030
8000,64,8,8,1,13,37,42.206562489,42.209078274,k_loop,send,5,14,105,0.002515785
8000,64,8,8,1,13,38,42.209079002,42.211590330,k_loop,send,5,15,105,0.002511328
8000,64,8,8,1,13,39,42.211600120,42.211600862,k_loop,alloc,5,-1,205,0.000000742
8000,64,8,8,1,13,40,42.211601367,42.214585706,k_loop,recv,5,45,205,0.002984339
8000,64,8,8,1,13,41,42.214586988,45.061060618,k_loop,compute,5,-1,-1,2.846473630
8000,64,8,8,1,13,42,45.061067124,45.061067787,k_loop,alloc,6,-1,106,0.000000663
8000,64,8,8,1,13,43,45.061068342,50.273935470,k_loop,recv,6,14,106,5.212867128
8000,64,8,8,1,13,44,50.273959432,50.273960906,k_loop,alloc,6,-1,206,0.000001474
8000,64,8,8,1,13,45,50.273961562,50.366424259,k_loop,recv,6,53,206,0.092462697
8000,64,8,8,1,13,46,50.366426097,57.302739077,k_loop,compute,6,-1,-1,6.936312980
8000,64,8,8,1,13,47,57.302744036,57.302744701,k_loop,alloc,7,-1,107,0.000000665
8000,64,8,8,1,13,48,57.302745194,58.274637939,k_loop,recv,7,15,107,0.971892745
8000,64,8,8,1,13,49,58.274641360,58.274642689,k_loop,alloc,7,-1,207,0.000001329
8000,64,8,8,1,13,50,58.274643297,58.334188893,k_loop,recv,7,61,207,0.059545596
8000,64,8,8,1,13,51,58.334190548,64.736566902,k_loop,compute,7,-1,-1,6.402376354
8000,64,8,8,1,13,52,64.739663781,66.196991016,gather,send,-1,0,300,1.457327235
