N,p,Pr,Pc,rep,rank,seq,t_start,t_end,phase,kind,k,peer,tag,dur_sec
8000,64,8,8,1,38,0,0.000000000,0.432763544,scatter_a,recv,6,0,100,0.432763544
8000,64,8,8,1,38,1,0.432766326,1.109537375,scatter_b,recv,4,0,200,0.676771049
8000,64,8,8,1,38,2,1.109544564,1.109557442,k_loop,alloc,0,-1,100,0.000012878
8000,64,8,8,1,38,3,1.109557960,1.115395250,k_loop,recv,0,32,100,0.005837290
8000,64,8,8,1,38,4,1.115396279,1.115407807,k_loop,alloc,0,-1,200,0.000011528
8000,64,8,8,1,38,5,1.115408238,1.489875799,k_loop,recv,0,6,200,0.374467561
8000,64,8,8,1,38,6,1.489878172,9.459809457,k_loop,compute,0,-1,-1,7.969931285
8000,64,8,8,1,38,7,9.460625183,9.460646288,k_loop,alloc,1,-1,101,0.000021105
8000,64,8,8,1,38,8,9.460647214,9.504975512,k_loop,recv,1,33,101,0.044328298
8000,64,8,8,1,38,9,9.505822995,9.505833608,k_loop,alloc,1,-1,201,0.000010613
8000,64,8,8,1,38,10,9.505834649,9.725603136,k_loop,recv,1,14,201,0.219768487
8000,64,8,8,1,38,11,9.725606681,17.524195159,k_loop,compute,1,-1,-1,7.798588478
8000,64,8,8,1,38,12,17.524221799,17.524222258,k_loop,alloc,2,-1,102,0.000000459
8000,64,8,8,1,38,13,17.524222805,17.541849651,k_loop,recv,2,34,102,0.017626846
8000,64,8,8,1,38,14,17.541851384,17.541851837,k_loop,alloc,2,-1,202,0.000000453
8000,64,8,8,1,38,15,17.541852216,17.683240265,k_loop,recv,2,22,202,0.141388049
8000,64,8,8,1,38,16,17.683242444,25.612882064,k_loop,compute,2,-1,-1,7.929639620
8000,64,8,8,1,38,17,25.612913579,25.612914287,k_loop,alloc,3,-1,103,0.000000708
8000,64,8,8,1,38,18,25.612915063,25.618182068,k_loop,recv,3,35,103,0.005267005
8000,64,8,8,1,38,19,25.618185359,25.618187339,k_loop,alloc,3,-1,203,0.000001980
8000,64,8,8,1,38,20,25.618188070,25.852861327,k_loop,recv,3,30,203,0.234673257
8000,64,8,8,1,38,21,25.852862759,33.761728534,k_loop,compute,3,-1,-1,7.908865775
8000,64,8,8,1,38,22,33.761734090,33.761735078,k_loop,alloc,4,-1,104,0.000000988
8000,64,8,8,1,38,23,33.761735716,34.164220198,k_loop,recv,4,36,104,0.402484482
8000,64,8,8,1,38,24,34.164228865,34.170335279,k_loop,send,4,6,204,0.006106414
8000,64,8,8,1,38,25,34.170336207,34.176267389,k_loop,send,4,14,204,0.005931182
8000,64,8,8,1,38,26,34.176268148,34.181756635,k_loop,send,4,22,204,0.005488487
8000,64,8,8,1,38,27,34.181757348,34.187384210,k_loop,send,4,30,204,0.005626862
8000,64,8,8,1,38,28,34.187385775,34.191402187,k_loop,send,4,46,204,0.004016412
8000,64,8,8,1,38,29,34.191403468,34.196505640,k_loop,send,4,54,204,0.005102172
8000,64,8,8,1,38,30,34.196507111,34.200539710,k_loop,send,4,62,204,0.004032599
8000,64,8,8,1,38,31,34.200540972,41.984395511,k_loop,compute,4,-1,-1,7.783854539
8000,64,8,8,1,38,32,41.984401637,41.984402268,k_loop,alloc,5,-1,105,0.000000631
8000,64,8,8,1,38,33,41.984402873,42.403301354,k_loop,recv,5,37,105,0.418898481
8000,64,8,8,1,38,34,42.403306475,42.403307359,k_loop,alloc,5,-1,205,0.000000884
8000,64,8,8,1,38,35,42.403326813,42.408685278,k_loop,recv,5,46,205,0.005358465
8000,64,8,8,1,38,36,42.408686778,50.058355964,k_loop,compute,5,-1,-1,7.649669186
8000,64,8,8,1,38,37,50.058373482,50.063116093,k_loop,send,6,32,106,0.004742611
8000,64,8,8,1,38,38,50.063117900,50.067576406,k_loop,send,6,33,106,0.004458506
8000,64,8,8,1,38,39,50.067577839,50.072669459,k_loop,send,6,34,106,0.005091620
8000,64,8,8,1,38,40,50.072670558,50.076867484,k_loop,send,6,35,106,0.004196926
8000,64,8,8,1,38,41,50.076869256,50.191099360,k_loop,send,6,36,106,0.114230104
8000,64,8,8,1,38,42,50.191100892,50.195386112,k_loop,send,6,37,106,0.004285220
8000,64,8,8,1,38,43,50.195387082,50.199114036,k_loop,send,6,39,106,0.003726954
8000,64,8,8,1,38,44,50.199123437,50.199124207,k_loop,alloc,6,-1,206,0.000000770
8000,64,8,8,1,38,45,50.199124798,50.670091111,k_loop,recv,6,54,206,0.470966313
8000,64,8,8,1,38,46,50.670093876,58.164864330,k_loop,compute,6,-1,-1,7.494770454
8000,64,8,8,1,38,47,58.164878578,58.164879454,k_loop,alloc,7,-1,107,0.000000876
8000,64,8,8,1,38,48,58.164879943,58.774224254,k_loop,recv,7,39,107,0.609344311
8000,64,8,8,1,38,49,58.774229249,58.774230173,k_loop,alloc,7,-1,207,0.000000924
8000,64,8,8,1,38,50,58.774231024,58.973386451,k_loop,recv,7,62,207,0.199155427
8000,64,8,8,1,38,51,58.973389251,66.300820404,k_loop,compute,7,-1,-1,7.327431153
8000,64,8,8,1,38,52,66.302374306,67.305786651,gather,send,-1,0,300,1.003412345
