N,p,Pr,Pc,rep,rank,seq,t_start,t_end,phase,kind,k,peer,tag,dur_sec
8000,32,8,4,1,19,0,0.000000000,0.375148771,scatter_a,recv,3,0,100,0.375148771
8000,32,8,4,1,19,1,0.375150992,0.375160861,k_loop,alloc,0,-1,100,0.000009869
8000,32,8,4,1,19,2,0.375161291,0.384213078,k_loop,recv,0,16,100,0.009051787
8000,32,8,4,1,19,3,0.384214615,0.384224657,k_loop,alloc,0,-1,200,0.000010042
8000,32,8,4,1,19,4,0.384225117,1.304425806,k_loop,recv,0,3,200,0.920200689
8000,32,8,4,1,19,5,1.304433091,22.346700354,k_loop,compute,0,-1,-1,21.042267263
8000,32,8,4,1,19,6,22.347733062,22.347750729,k_loop,alloc,1,-1,101,0.000017667
8000,32,8,4,1,19,7,22.347751382,22.693473881,k_loop,recv,1,17,101,0.345722499
8000,32,8,4,1,19,8,22.695542045,22.695551084,k_loop,alloc,1,-1,201,0.000009039
8000,32,8,4,1,19,9,22.695551897,22.729128772,k_loop,recv,1,7,201,0.033576875
8000,32,8,4,1,19,10,22.729131038,43.901937439,k_loop,compute,1,-1,-1,21.172806401
8000,32,8,4,1,19,11,43.901959402,43.901960035,k_loop,alloc,2,-1,102,0.000000633
8000,32,8,4,1,19,12,43.901960502,43.908110310,k_loop,recv,2,18,102,0.006149808
8000,32,8,4,1,19,13,43.908111872,43.908112825,k_loop,alloc,2,-1,202,0.000000953
8000,32,8,4,1,19,14,43.908113304,44.040785813,k_loop,recv,2,11,202,0.132672509
8000,32,8,4,1,19,15,44.040787144,65.185464987,k_loop,compute,2,-1,-1,21.144677843
8000,32,8,4,1,19,16,65.185478948,65.204466593,k_loop,send,3,16,103,0.018987645
8000,32,8,4,1,19,17,65.204467312,65.210921533,k_loop,send,3,17,103,0.006454221
8000,32,8,4,1,19,18,65.210921998,65.218802019,k_loop,send,3,18,103,0.007880021
8000,32,8,4,1,19,19,65.218808329,65.218809243,k_loop,alloc,3,-1,203,0.000000914
8000,32,8,4,1,19,20,65.218809657,65.360044716,k_loop,recv,3,15,203,0.141235059
8000,32,8,4,1,19,21,65.360046157,86.445961546,k_loop,compute,3,-1,-1,21.085915389
8000,32,8,4,1,19,22,86.446941796,86.871786687,gather,send,-1,0,300,0.424844891
