N,p,Pr,Pc,rep,rank,seq,t_start,t_end,phase,kind,k,peer,tag,dur_sec
8000,32,8,4,1,14,0,0.000000000,0.290686663,scatter_a,recv,2,0,100,0.290686663
8000,32,8,4,1,14,1,0.290688830,1.097421370,scatter_b,recv,3,0,200,0.806732540
8000,32,8,4,1,14,2,1.097423743,1.097439762,k_loop,alloc,0,-1,100,0.000016019
8000,32,8,4,1,14,3,1.097440195,1.107603780,k_loop,recv,0,12,100,0.010163585
8000,32,8,4,1,14,4,1.107604944,1.107618595,k_loop,alloc,0,-1,200,0.000013651
8000,32,8,4,1,14,5,1.107619055,1.278244768,k_loop,recv,0,2,200,0.170625713
8000,32,8,4,1,14,6,1.278251068,22.186608518,k_loop,compute,0,-1,-1,20.908357450
8000,32,8,4,1,14,7,22.187544704,22.187565320,k_loop,alloc,1,-1,101,0.000020616
8000,32,8,4,1,14,8,22.187566307,22.305333897,k_loop,recv,1,13,101,0.117767590
8000,32,8,4,1,14,9,22.307566894,22.307576254,k_loop,alloc,1,-1,201,0.000009360
8000,32,8,4,1,14,10,22.307577266,22.700662297,k_loop,recv,1,6,201,0.393085031
8000,32,8,4,1,14,11,22.700664263,43.623336190,k_loop,compute,1,-1,-1,20.922671927
8000,32,8,4,1,14,12,43.623347061,43.727180289,k_loop,send,2,12,102,0.103833228
8000,32,8,4,1,14,13,43.727181875,43.738290253,k_loop,send,2,13,102,0.011108378
8000,32,8,4,1,14,14,43.738290764,43.744622306,k_loop,send,2,15,102,0.006331542
8000,32,8,4,1,14,15,43.744630507,43.744630956,k_loop,alloc,2,-1,202,0.000000449
8000,32,8,4,1,14,16,43.744631340,44.037024710,k_loop,recv,2,10,202,0.292393370
8000,32,8,4,1,14,17,44.037026885,65.002820376,k_loop,compute,2,-1,-1,20.965793491
8000,32,8,4,1,14,18,65.002843462,65.002844289,k_loop,alloc,3,-1,103,0.000000827
8000,32,8,4,1,14,19,65.002844994,65.011061785,k_loop,recv,3,15,103,0.008216791
8000,32,8,4,1,14,20,65.011063215,65.329895201,k_loop,send,3,2,203,0.318831986
8000,32,8,4,1,14,21,65.329897955,65.338986590,k_loop,send,3,6,203,0.009088635
8000,32,8,4,1,14,22,65.338987292,65.353408935,k_loop,send,3,10,203,0.014421643
8000,32,8,4,1,14,23,65.353409761,65.361073709,k_loop,send,3,18,203,0.007663948
8000,32,8,4,1,14,24,65.361074489,65.491817744,k_loop,send,3,22,203,0.130743255
8000,32,8,4,1,14,25,65.491819104,65.523381052,k_loop,send,3,26,203,0.031561948
8000,32,8,4,1,14,26,65.523381679,65.530890231,k_loop,send,3,30,203,0.007508552
8000,32,8,4,1,14,27,65.530890962,86.413797868,k_loop,compute,3,-1,-1,20.882906906
8000,32,8,4,1,14,28,86.416666831,86.767062665,gather,send,-1,0,300,0.350395834
