N,p,Pr,Pc,rep,rank,seq,t_start,t_end,phase,kind,k,peer,tag,dur_sec
8000,16,4,4,1,8,0,0.000000000,0.391718194,scatter_a,recv,0,0,100,0.391718194
8000,16,4,4,1,8,1,0.391720558,1.018949624,scatter_b,recv,2,0,200,0.627229066
8000,16,4,4,1,8,2,1.018951964,1.077867787,k_loop,send,0,9,100,0.058915823
8000,16,4,4,1,8,3,1.077869982,1.114576195,k_loop,send,0,10,100,0.036706213
8000,16,4,4,1,8,4,1.114576740,1.147528977,k_loop,send,0,11,100,0.032952237
8000,16,4,4,1,8,5,1.147530185,1.147544622,k_loop,alloc,0,-1,200,0.000014437
8000,16,4,4,1,8,6,1.147545132,1.416506722,k_loop,recv,0,0,200,0.268961590
8000,16,4,4,1,8,7,1.416512971,43.462447956,k_loop,compute,0,-1,-1,42.045934985
8000,16,4,4,1,8,8,43.462460090,43.462484222,k_loop,alloc,1,-1,101,0.000024132
8000,16,4,4,1,8,9,43.462484949,43.503356075,k_loop,recv,1,9,101,0.040871126
8000,16,4,4,1,8,10,43.505663027,43.505676271,k_loop,alloc,1,-1,201,0.000013244
8000,16,4,4,1,8,11,43.505677357,43.699536167,k_loop,recv,1,4,201,0.193858810
8000,16,4,4,1,8,12,43.699537823,84.630137774,k_loop,compute,1,-1,-1,40.930599951
8000,16,4,4,1,8,13,84.632185663,84.632208673,k_loop,alloc,2,-1,102,0.000023010
8000,16,4,4,1,8,14,84.632209917,84.886600930,k_loop,recv,2,10,102,0.254391013
8000,16,4,4,1,8,15,84.886603144,84.945782531,k_loop,send,2,0,202,0.059179387
8000,16,4,4,1,8,16,84.945784313,85.777843653,k_loop,send,2,4,202,0.832059340
8000,16,4,4,1,8,17,85.777846180,85.784901664,k_loop,send,2,12,202,0.007055484
8000,16,4,4,1,8,18,85.784902604,127.914029871,k_loop,compute,2,-1,-1,42.129127267
8000,16,4,4,1,8,19,127.914043920,127.914045200,k_loop,alloc,3,-1,103,0.000001280
8000,16,4,4,1,8,20,127.914045613,128.082792704,k_loop,recv,3,11,103,0.168747091
8000,16,4,4,1,8,21,128.082799295,128.082799935,k_loop,alloc,3,-1,203,0.000000640
8000,16,4,4,1,8,22,128.082800456,128.097448227,k_loop,recv,3,12,203,0.014647771
8000,16,4,4,1,8,23,128.097452194,169.189031568,k_loop,compute,3,-1,-1,41.091579374
8000,16,4,4,1,8,24,169.196737486,170.898368627,gather,send,-1,0,300,1.701631141
