N,p,Pr,Pc,rep,rank,seq,t_start,t_end,phase,kind,k,peer,tag,dur_sec
8000,64,8,8,1,2,0,0.000000000,0.044522746,scatter_a,recv,2,0,100,0.044522746
8000,64,8,8,1,2,1,0.044525691,0.739993095,scatter_b,recv,0,0,200,0.695467404
8000,64,8,8,1,2,2,0.739999026,0.740022287,k_loop,alloc,0,-1,100,0.000023261
8000,64,8,8,1,2,3,0.740022898,1.439959190,k_loop,recv,0,0,100,0.699936292
8000,64,8,8,1,2,4,1.439961660,1.445604091,k_loop,send,0,10,200,0.005642431
8000,64,8,8,1,2,5,1.445604671,1.451799261,k_loop,send,0,18,200,0.006194590
8000,64,8,8,1,2,6,1.451799744,1.457707910,k_loop,send,0,26,200,0.005908166
8000,64,8,8,1,2,7,1.457708713,1.463422343,k_loop,send,0,34,200,0.005713630
8000,64,8,8,1,2,8,1.463423527,1.469322555,k_loop,send,0,42,200,0.005899028
8000,64,8,8,1,2,9,1.469323306,1.474252809,k_loop,send,0,50,200,0.004929503
8000,64,8,8,1,2,10,1.474253616,1.480251204,k_loop,send,0,58,200,0.005997588
8000,64,8,8,1,2,11,1.480252111,4.178037854,k_loop,compute,0,-1,-1,2.697785743
8000,64,8,8,1,2,12,4.178760694,4.178784437,k_loop,alloc,1,-1,101,0.000023743
8000,64,8,8,1,2,13,4.178785597,9.475327878,k_loop,recv,1,1,101,5.296542281
8000,64,8,8,1,2,14,9.475335542,9.475351921,k_loop,alloc,1,-1,201,0.000016379
8000,64,8,8,1,2,15,9.475352371,9.481330513,k_loop,recv,1,10,201,0.005978142
8000,64,8,8,1,2,16,9.481331983,11.934981941,k_loop,compute,1,-1,-1,2.453649958
8000,64,8,8,1,2,17,11.934999609,16.993219787,k_loop,send,2,0,102,5.058220178
8000,64,8,8,1,2,18,16.993227914,17.457266031,k_loop,send,2,1,102,0.464038117
8000,64,8,8,1,2,19,17.457268323,17.462053868,k_loop,send,2,3,102,0.004785545
8000,64,8,8,1,2,20,17.462054404,17.467154503,k_loop,send,2,4,102,0.005100099
8000,64,8,8,1,2,21,17.467155285,17.472209833,k_loop,send,2,5,102,0.005054548
8000,64,8,8,1,2,22,17.472210425,17.477037154,k_loop,send,2,6,102,0.004826729
8000,64,8,8,1,2,23,17.477037884,17.481712299,k_loop,send,2,7,102,0.004674415
8000,64,8,8,1,2,24,17.481718380,17.481718834,k_loop,alloc,2,-1,202,0.000000454
8000,64,8,8,1,2,25,17.481719454,17.616234631,k_loop,recv,2,18,202,0.134515177
8000,64,8,8,1,2,26,17.616237366,20.038165345,k_loop,compute,2,-1,-1,2.421927979
8000,64,8,8,1,2,27,20.038177143,20.038177917,k_loop,alloc,3,-1,103,0.000000774
8000,64,8,8,1,2,28,20.038178434,25.503990122,k_loop,recv,3,3,103,5.465811688
8000,64,8,8,1,2,29,25.504006674,25.504007308,k_loop,alloc,3,-1,203,0.000000634
8000,64,8,8,1,2,30,25.504007863,25.530563801,k_loop,recv,3,26,203,0.026555938
8000,64,8,8,1,2,31,25.530565528,27.979287657,k_loop,compute,3,-1,-1,2.448722129
8000,64,8,8,1,2,32,27.979293755,27.979294562,k_loop,alloc,4,-1,104,0.000000807
8000,64,8,8,1,2,33,27.979295074,33.529729329,k_loop,recv,4,4,104,5.550434255
8000,64,8,8,1,2,34,33.529733979,33.529734791,k_loop,alloc,4,-1,204,0.000000812
8000,64,8,8,1,2,35,33.529750103,34.155480171,k_loop,recv,4,34,204,0.625730068
8000,64,8,8,1,2,36,34.155487385,36.637382209,k_loop,compute,4,-1,-1,2.481894824
8000,64,8,8,1,2,37,36.637396009,36.637397051,k_loop,alloc,5,-1,105,0.000001042
8000,64,8,8,1,2,38,36.637397593,42.040714064,k_loop,recv,5,5,105,5.403316471
8000,64,8,8,1,2,39,42.040718695,42.040719490,k_loop,alloc,5,-1,205,0.000000795
8000,64,8,8,1,2,40,42.040720227,42.129812723,k_loop,recv,5,42,205,0.089092496
8000,64,8,8,1,2,41,42.129815321,44.547228488,k_loop,compute,5,-1,-1,2.417413167
8000,64,8,8,1,2,42,44.547234597,44.547235732,k_loop,alloc,6,-1,106,0.000001135
8000,64,8,8,1,2,43,44.547236234,50.018347118,k_loop,recv,6,6,106,5.471110884
8000,64,8,8,1,2,44,50.018365666,50.018366731,k_loop,alloc,6,-1,206,0.000001065
8000,64,8,8,1,2,45,50.018367238,50.022955202,k_loop,recv,6,50,206,0.004587964
8000,64,8,8,1,2,46,50.022957207,52.402077415,k_loop,compute,6,-1,-1,2.379120208
8000,64,8,8,1,2,47,52.402084272,52.402085308,k_loop,alloc,7,-1,107,0.000001036
8000,64,8,8,1,2,48,52.402085731,57.643943888,k_loop,recv,7,7,107,5.241858157
8000,64,8,8,1,2,49,57.643949108,57.643949915,k_loop,alloc,7,-1,207,0.000000807
8000,64,8,8,1,2,50,57.643950429,58.323422662,k_loop,recv,7,58,207,0.679472233
8000,64,8,8,1,2,51,58.323425868,60.787466667,k_loop,compute,7,-1,-1,2.464040799
8000,64,8,8,1,2,52,60.789705850,64.975403458,gather,send,-1,0,300,4.185697608
