N,p,Pr,Pc,rep,rank,seq,t_start,t_end,phase,kind,k,peer,tag,dur_sec
8000,64,8,8,1,18,0,0.000000000,0.222290161,scatter_a,recv,2,0,100,0.222290161
8000,64,8,8,1,18,1,0.222292869,0.919793346,scatter_b,recv,2,0,200,0.697500477
8000,64,8,8,1,18,2,0.919802587,0.919824509,k_loop,alloc,0,-1,100,0.000021922
8000,64,8,8,1,18,3,0.919825034,0.929081850,k_loop,recv,0,16,100,0.009256816
8000,64,8,8,1,18,4,0.929083167,0.929094140,k_loop,alloc,0,-1,200,0.000010973
8000,64,8,8,1,18,5,0.929094612,1.451681411,k_loop,recv,0,2,200,0.522586799
8000,64,8,8,1,18,6,1.451683592,9.434834748,k_loop,compute,0,-1,-1,7.983151156
8000,64,8,8,1,18,7,9.435575369,9.435603522,k_loop,alloc,1,-1,101,0.000028153
8000,64,8,8,1,18,8,9.435604781,9.566303519,k_loop,recv,1,17,101,0.130698738
8000,64,8,8,1,18,9,9.567243655,9.567256279,k_loop,alloc,1,-1,201,0.000012624
8000,64,8,8,1,18,10,9.567257459,9.574263528,k_loop,recv,1,10,201,0.007006069
8000,64,8,8,1,18,11,9.574264700,17.573844521,k_loop,compute,1,-1,-1,7.999579821
8000,64,8,8,1,18,12,17.573858536,17.580739125,k_loop,send,2,16,102,0.006880589
8000,64,8,8,1,18,13,17.580741268,17.587701172,k_loop,send,2,17,102,0.006959904
8000,64,8,8,1,18,14,17.587702498,17.592235537,k_loop,send,2,19,102,0.004533039
8000,64,8,8,1,18,15,17.592236627,17.597138412,k_loop,send,2,20,102,0.004901785
8000,64,8,8,1,18,16,17.597139476,17.601870447,k_loop,send,2,21,102,0.004730971
8000,64,8,8,1,18,17,17.601871496,17.606735346,k_loop,send,2,22,102,0.004863850
8000,64,8,8,1,18,18,17.606736729,17.611452313,k_loop,send,2,23,102,0.004715584
8000,64,8,8,1,18,19,17.611453417,17.616120365,k_loop,send,2,2,202,0.004666948
8000,64,8,8,1,18,20,17.616122267,17.647092107,k_loop,send,2,10,202,0.030969840
8000,64,8,8,1,18,21,17.647094385,17.687398774,k_loop,send,2,26,202,0.040304389
8000,64,8,8,1,18,22,17.687400643,17.692121159,k_loop,send,2,34,202,0.004720516
8000,64,8,8,1,18,23,17.692122585,17.695069426,k_loop,send,2,42,202,0.002946841
8000,64,8,8,1,18,24,17.695071300,17.697686737,k_loop,send,2,50,202,0.002615437
8000,64,8,8,1,18,25,17.697688318,17.700257385,k_loop,send,2,58,202,0.002569067
8000,64,8,8,1,18,26,17.700258449,25.782088005,k_loop,compute,2,-1,-1,8.081829556
8000,64,8,8,1,18,27,25.782124379,25.782125146,k_loop,alloc,3,-1,103,0.000000767
8000,64,8,8,1,18,28,25.782126176,25.788137610,k_loop,recv,3,19,103,0.006011434
8000,64,8,8,1,18,29,25.788142753,25.788143507,k_loop,alloc,3,-1,203,0.000000754
8000,64,8,8,1,18,30,25.788144139,25.793560670,k_loop,recv,3,26,203,0.005416531
8000,64,8,8,1,18,31,25.793561878,33.659007254,k_loop,compute,3,-1,-1,7.865445376
8000,64,8,8,1,18,32,33.659014526,33.659015687,k_loop,alloc,4,-1,104,0.000001161
8000,64,8,8,1,18,33,33.659016413,33.773852210,k_loop,recv,4,20,104,0.114835797
8000,64,8,8,1,18,34,33.773855568,33.773855916,k_loop,alloc,4,-1,204,0.000000348
8000,64,8,8,1,18,35,33.773868854,34.165614106,k_loop,recv,4,34,204,0.391745252
8000,64,8,8,1,18,36,34.165622148,42.225476763,k_loop,compute,4,-1,-1,8.059854615
8000,64,8,8,1,18,37,42.225497234,42.225498221,k_loop,alloc,5,-1,105,0.000000987
8000,64,8,8,1,18,38,42.225499114,42.228761167,k_loop,recv,5,21,105,0.003262053
8000,64,8,8,1,18,39,42.228764905,42.228765536,k_loop,alloc,5,-1,205,0.000000631
8000,64,8,8,1,18,40,42.228766127,42.231606410,k_loop,recv,5,42,205,0.002840283
8000,64,8,8,1,18,41,42.231608469,50.381951096,k_loop,compute,5,-1,-1,8.150342627
8000,64,8,8,1,18,42,50.381983493,50.381984518,k_loop,alloc,6,-1,106,0.000001025
8000,64,8,8,1,18,43,50.381985209,50.386648884,k_loop,recv,6,22,106,0.004663675
8000,64,8,8,1,18,44,50.386652111,50.386653044,k_loop,alloc,6,-1,206,0.000000933
8000,64,8,8,1,18,45,50.386653866,50.389516915,k_loop,recv,6,50,206,0.002863049
8000,64,8,8,1,18,46,50.389519122,58.584123646,k_loop,compute,6,-1,-1,8.194604524
8000,64,8,8,1,18,47,58.584131833,58.584132612,k_loop,alloc,7,-1,107,0.000000779
8000,64,8,8,1,18,48,58.584133302,58.587371066,k_loop,recv,7,23,107,0.003237764
8000,64,8,8,1,18,49,58.587374171,58.587375095,k_loop,alloc,7,-1,207,0.000000924
8000,64,8,8,1,18,50,58.587375731,58.590244227,k_loop,recv,7,58,207,0.002868496
8000,64,8,8,1,18,51,58.590245937,66.777419671,k_loop,compute,7,-1,-1,8.187173734
8000,64,8,8,1,18,52,66.778707225,66.781806895,gather,send,-1,0,300,0.003099670
