N,p,Pr,Pc,rep,rank,seq,t_start,t_end,phase,kind,k,peer,tag,dur_sec
8000,32,8,4,1,7,0,0.000000000,0.153204568,scatter_a,recv,3,0,100,0.153204568
8000,32,8,4,1,7,1,0.153206389,0.864374018,scatter_b,recv,1,0,200,0.711167629
8000,32,8,4,1,7,2,0.864376473,0.864388636,k_loop,alloc,0,-1,100,0.000012163
8000,32,8,4,1,7,3,0.864389042,0.873324994,k_loop,recv,0,4,100,0.008935952
8000,32,8,4,1,7,4,0.873325871,0.873335927,k_loop,alloc,0,-1,200,0.000010056
8000,32,8,4,1,7,5,0.873336666,1.251108191,k_loop,recv,0,3,200,0.377771525
8000,32,8,4,1,7,6,1.251113767,22.565420135,k_loop,compute,0,-1,-1,21.314306368
8000,32,8,4,1,7,7,22.566497378,22.566516382,k_loop,alloc,1,-1,101,0.000019004
8000,32,8,4,1,7,8,22.566517439,22.599711817,k_loop,recv,1,5,101,0.033194378
8000,32,8,4,1,7,9,22.599713126,22.673404495,k_loop,send,1,3,201,0.073691369
8000,32,8,4,1,7,10,22.673408235,22.694542295,k_loop,send,1,11,201,0.021134060
8000,32,8,4,1,7,11,22.694543711,22.711918003,k_loop,send,1,15,201,0.017374292
8000,32,8,4,1,7,12,22.711919464,22.729109866,k_loop,send,1,19,201,0.017190402
8000,32,8,4,1,7,13,22.729110830,22.746370632,k_loop,send,1,23,201,0.017259802
8000,32,8,4,1,7,14,22.746371911,22.763777502,k_loop,send,1,27,201,0.017405591
8000,32,8,4,1,7,15,22.763778504,22.781047796,k_loop,send,1,31,201,0.017269292
8000,32,8,4,1,7,16,22.781048736,43.900485833,k_loop,compute,1,-1,-1,21.119437097
8000,32,8,4,1,7,17,43.900505235,43.900507766,k_loop,alloc,2,-1,102,0.000002531
8000,32,8,4,1,7,18,43.900508338,43.926243135,k_loop,recv,2,6,102,0.025734797
8000,32,8,4,1,7,19,43.928103957,43.928117070,k_loop,alloc,2,-1,202,0.000013113
8000,32,8,4,1,7,20,43.928117828,44.025566710,k_loop,recv,2,11,202,0.097448882
8000,32,8,4,1,7,21,44.025568298,65.106486869,k_loop,compute,2,-1,-1,21.080918571
8000,32,8,4,1,7,22,65.106496859,65.126061946,k_loop,send,3,4,103,0.019565087
8000,32,8,4,1,7,23,65.126062998,65.208399276,k_loop,send,3,5,103,0.082336278
8000,32,8,4,1,7,24,65.208400232,65.242449924,k_loop,send,3,6,103,0.034049692
8000,32,8,4,1,7,25,65.242458352,65.242458955,k_loop,alloc,3,-1,203,0.000000603
8000,32,8,4,1,7,26,65.242459413,65.339592071,k_loop,recv,3,15,203,0.097132658
8000,32,8,4,1,7,27,65.339593219,86.424154488,k_loop,compute,3,-1,-1,21.084561269
8000,32,8,4,1,7,28,86.427047651,86.625594453,gather,send,-1,0,300,0.198546802
