N,p,Pr,Pc,rep,rank,seq,t_start,t_end,phase,kind,k,peer,tag,dur_sec
8000,16,4,4,1,13,0,0.000000000,0.588284651,scatter_a,recv,1,0,100,0.588284651
8000,16,4,4,1,13,1,0.588287250,1.181825030,scatter_b,recv,3,0,200,0.593537780
8000,16,4,4,1,13,2,1.181827832,1.181840592,k_loop,alloc,0,-1,100,0.000012760
8000,16,4,4,1,13,3,1.181840977,1.222868928,k_loop,recv,0,12,100,0.041027951
8000,16,4,4,1,13,4,1.222875685,1.222893350,k_loop,alloc,0,-1,200,0.000017665
8000,16,4,4,1,13,5,1.222893785,1.396649651,k_loop,recv,0,1,200,0.173755866
8000,16,4,4,1,13,6,1.396651745,42.922195853,k_loop,compute,0,-1,-1,41.525544108
8000,16,4,4,1,13,7,42.922209156,43.279205364,k_loop,send,1,12,101,0.356996208
8000,16,4,4,1,13,8,43.279207907,43.299856455,k_loop,send,1,14,101,0.020648548
8000,16,4,4,1,13,9,43.299857121,43.321746810,k_loop,send,1,15,101,0.021889689
8000,16,4,4,1,13,10,43.323863633,43.323876166,k_loop,alloc,1,-1,201,0.000012533
8000,16,4,4,1,13,11,43.323877096,43.762094542,k_loop,recv,1,5,201,0.438217446
8000,16,4,4,1,13,12,43.762097101,85.162260782,k_loop,compute,1,-1,-1,41.400163681
8000,16,4,4,1,13,13,85.164149013,85.164165777,k_loop,alloc,2,-1,102,0.000016764
8000,16,4,4,1,13,14,85.164166674,85.187127724,k_loop,recv,2,14,102,0.022961050
8000,16,4,4,1,13,15,85.187131227,85.187131780,k_loop,alloc,2,-1,202,0.000000553
8000,16,4,4,1,13,16,85.187132246,86.203341484,k_loop,recv,2,9,202,1.016209238
8000,16,4,4,1,13,17,86.203343512,127.505288440,k_loop,compute,2,-1,-1,41.301944928
8000,16,4,4,1,13,18,127.505311397,127.505312634,k_loop,alloc,3,-1,103,0.000001237
8000,16,4,4,1,13,19,127.505313206,127.519210000,k_loop,recv,3,15,103,0.013896794
8000,16,4,4,1,13,20,127.519211077,128.043563099,k_loop,send,3,1,203,0.524352022
8000,16,4,4,1,13,21,128.043565210,128.577484865,k_loop,send,3,5,203,0.533919655
8000,16,4,4,1,13,22,128.577487766,128.592128757,k_loop,send,3,9,203,0.014640991
8000,16,4,4,1,13,23,128.592129951,169.680312045,k_loop,compute,3,-1,-1,41.088182094
8000,16,4,4,1,13,24,169.688730205,171.123246674,gather,send,-1,0,300,1.434516469
