N,p,Pr,Pc,rep,rank,seq,t_start,t_end,phase,kind,k,peer,tag,dur_sec
8000,64,8,8,1,41,0,0.000000000,0.465411597,scatter_a,recv,1,0,100,0.465411597
8000,64,8,8,1,41,1,0.465413969,1.137301842,scatter_b,recv,5,0,200,0.671887873
8000,64,8,8,1,41,2,1.137308178,1.137328406,k_loop,alloc,0,-1,100,0.000020228
8000,64,8,8,1,41,3,1.137328859,1.150242948,k_loop,recv,0,40,100,0.012914089
8000,64,8,8,1,41,4,1.150243932,1.150254739,k_loop,alloc,0,-1,200,0.000010807
8000,64,8,8,1,41,5,1.150255180,1.462393806,k_loop,recv,0,1,200,0.312138626
8000,64,8,8,1,41,6,1.462395950,9.261919617,k_loop,compute,0,-1,-1,7.799523667
8000,64,8,8,1,41,7,9.261932566,9.450199494,k_loop,send,1,40,101,0.188266928
8000,64,8,8,1,41,8,9.450200637,9.517948669,k_loop,send,1,42,101,0.067748032
8000,64,8,8,1,41,9,9.517949147,9.524169738,k_loop,send,1,43,101,0.006220591
8000,64,8,8,1,41,10,9.524170119,9.531010150,k_loop,send,1,44,101,0.006840031
8000,64,8,8,1,41,11,9.531010485,9.537030017,k_loop,send,1,45,101,0.006019532
8000,64,8,8,1,41,12,9.537030434,9.542773035,k_loop,send,1,46,101,0.005742601
8000,64,8,8,1,41,13,9.542773490,9.548835177,k_loop,send,1,47,101,0.006061687
8000,64,8,8,1,41,14,9.549773816,9.549786645,k_loop,alloc,1,-1,201,0.000012829
8000,64,8,8,1,41,15,9.549787236,9.739063897,k_loop,recv,1,9,201,0.189276661
8000,64,8,8,1,41,16,9.739065968,17.346113184,k_loop,compute,1,-1,-1,7.607047216
8000,64,8,8,1,41,17,17.346827857,17.346850693,k_loop,alloc,2,-1,102,0.000022836
8000,64,8,8,1,41,18,17.346851950,17.543022512,k_loop,recv,2,42,102,0.196170562
8000,64,8,8,1,41,19,17.543024130,17.543024389,k_loop,alloc,2,-1,202,0.000000259
8000,64,8,8,1,41,20,17.543024884,17.606863864,k_loop,recv,2,17,202,0.063838980
8000,64,8,8,1,41,21,17.606865147,25.194783848,k_loop,compute,2,-1,-1,7.587918701
8000,64,8,8,1,41,22,25.194804800,25.194805240,k_loop,alloc,3,-1,103,0.000000440
8000,64,8,8,1,41,23,25.194805616,25.568702144,k_loop,recv,3,43,103,0.373896528
8000,64,8,8,1,41,24,25.568704183,25.568704591,k_loop,alloc,3,-1,203,0.000000408
8000,64,8,8,1,41,25,25.568705077,25.645808204,k_loop,recv,3,25,203,0.077103127
8000,64,8,8,1,41,26,25.645810226,33.358672665,k_loop,compute,3,-1,-1,7.712862439
8000,64,8,8,1,41,27,33.358675812,33.358676076,k_loop,alloc,4,-1,104,0.000000264
8000,64,8,8,1,41,28,33.358676570,33.825174565,k_loop,recv,4,44,104,0.466497995
8000,64,8,8,1,41,29,33.825176346,33.825176584,k_loop,alloc,4,-1,204,0.000000238
8000,64,8,8,1,41,30,33.825176955,34.164360957,k_loop,recv,4,33,204,0.339184002
8000,64,8,8,1,41,31,34.164368532,41.765916571,k_loop,compute,4,-1,-1,7.601548039
8000,64,8,8,1,41,32,41.765930503,41.765930913,k_loop,alloc,5,-1,105,0.000000410
8000,64,8,8,1,41,33,41.765931658,41.936857213,k_loop,recv,5,45,105,0.170925555
8000,64,8,8,1,41,34,41.936858407,42.041330044,k_loop,send,5,1,205,0.104471637
8000,64,8,8,1,41,35,42.041337290,42.045690536,k_loop,send,5,9,205,0.004353246
8000,64,8,8,1,41,36,42.045690932,42.059241819,k_loop,send,5,17,205,0.013550887
8000,64,8,8,1,41,37,42.059242511,42.061600896,k_loop,send,5,25,205,0.002358385
8000,64,8,8,1,41,38,42.061601715,42.066060912,k_loop,send,5,33,205,0.004459197
8000,64,8,8,1,41,39,42.066062158,42.120260852,k_loop,send,5,49,205,0.054198694
8000,64,8,8,1,41,40,42.120262378,42.122544818,k_loop,send,5,57,205,0.002282440
8000,64,8,8,1,41,41,42.122546023,50.054551566,k_loop,compute,5,-1,-1,7.932005543
8000,64,8,8,1,41,42,50.054577829,50.054578212,k_loop,alloc,6,-1,106,0.000000383
8000,64,8,8,1,41,43,50.054578684,50.059017759,k_loop,recv,6,46,106,0.004439075
8000,64,8,8,1,41,44,50.059021915,50.059022145,k_loop,alloc,6,-1,206,0.000000230
8000,64,8,8,1,41,45,50.059022641,50.226592694,k_loop,recv,6,49,206,0.167570053
8000,64,8,8,1,41,46,50.226594724,57.862505193,k_loop,compute,6,-1,-1,7.635910469
8000,64,8,8,1,41,47,57.862509426,57.862510181,k_loop,alloc,7,-1,107,0.000000755
8000,64,8,8,1,41,48,57.862510626,58.182109751,k_loop,recv,7,47,107,0.319599125
8000,64,8,8,1,41,49,58.182112119,58.182112533,k_loop,alloc,7,-1,207,0.000000414
8000,64,8,8,1,41,50,58.182113012,58.555475834,k_loop,recv,7,57,207,0.373362822
8000,64,8,8,1,41,51,58.555477426,66.195551987,k_loop,compute,7,-1,-1,7.640074561
8000,64,8,8,1,41,52,66.197176368,67.340445328,gather,send,-1,0,300,1.143268960
