N,p,Pr,Pc,rep,rank,seq,t_start,t_end,phase,kind,k,peer,tag,dur_sec
8000,32,8,4,1,3,0,0.000000000,0.078794094,scatter_a,recv,3,0,100,0.078794094
8000,32,8,4,1,3,1,0.078796242,0.716988592,scatter_b,recv,0,0,200,0.638192350
8000,32,8,4,1,3,2,0.716992206,0.717006298,k_loop,alloc,0,-1,100,0.000014092
8000,32,8,4,1,3,3,0.717006831,1.231426357,k_loop,recv,0,0,100,0.514419526
8000,32,8,4,1,3,4,1.231431674,1.251143839,k_loop,send,0,7,200,0.019712165
8000,32,8,4,1,3,5,1.251144448,1.269879644,k_loop,send,0,11,200,0.018735196
8000,32,8,4,1,3,6,1.269880153,1.287220650,k_loop,send,0,15,200,0.017340497
8000,32,8,4,1,3,7,1.287221110,1.304440098,k_loop,send,0,19,200,0.017218988
8000,32,8,4,1,3,8,1.304441230,1.322309074,k_loop,send,0,23,200,0.017867844
8000,32,8,4,1,3,9,1.322309807,1.339815823,k_loop,send,0,27,200,0.017506016
8000,32,8,4,1,3,10,1.339816392,1.357102849,k_loop,send,0,31,200,0.017286457
8000,32,8,4,1,3,11,1.357105168,22.177652819,k_loop,compute,0,-1,-1,20.820547651
8000,32,8,4,1,3,12,22.178686445,22.178707272,k_loop,alloc,1,-1,101,0.000020827
8000,32,8,4,1,3,13,22.178708034,22.652128039,k_loop,recv,1,1,101,0.473420005
8000,32,8,4,1,3,14,22.652129969,22.652143484,k_loop,alloc,1,-1,201,0.000013515
8000,32,8,4,1,3,15,22.652143880,22.673445677,k_loop,recv,1,7,201,0.021301797
8000,32,8,4,1,3,16,22.673447993,43.731722609,k_loop,compute,1,-1,-1,21.058274616
8000,32,8,4,1,3,17,43.731744514,43.731745147,k_loop,alloc,2,-1,102,0.000000633
8000,32,8,4,1,3,18,43.731745528,43.985122011,k_loop,recv,2,2,102,0.253376483
8000,32,8,4,1,3,19,43.987158424,43.987171386,k_loop,alloc,2,-1,202,0.000012962
8000,32,8,4,1,3,20,43.987172154,44.006930064,k_loop,recv,2,11,202,0.019757910
8000,32,8,4,1,3,21,44.006931060,65.283650171,k_loop,compute,2,-1,-1,21.276719111
8000,32,8,4,1,3,22,65.283662288,65.303516935,k_loop,send,3,0,103,0.019854647
8000,32,8,4,1,3,23,65.303517524,65.311732433,k_loop,send,3,1,103,0.008214909
8000,32,8,4,1,3,24,65.311733158,65.319963178,k_loop,send,3,2,103,0.008230020
8000,32,8,4,1,3,25,65.319970943,65.319971557,k_loop,alloc,3,-1,203,0.000000614
8000,32,8,4,1,3,26,65.319971928,65.330215605,k_loop,recv,3,15,203,0.010243677
8000,32,8,4,1,3,27,65.330217249,86.519421549,k_loop,compute,3,-1,-1,21.189204300
8000,32,8,4,1,3,28,86.522622789,86.537773250,gather,send,-1,0,300,0.015150461
