N,p,Pr,Pc,rep,rank,seq,t_start,t_end,phase,kind,k,peer,tag,dur_sec
8000,32,8,4,1,18,0,0.000000000,0.359104662,scatter_a,recv,2,0,100,0.359104662
8000,32,8,4,1,18,1,0.359106889,0.359116777,k_loop,alloc,0,-1,100,0.000009888
8000,32,8,4,1,18,2,0.359117195,0.369181224,k_loop,recv,0,16,100,0.010064029
8000,32,8,4,1,18,3,0.369183020,0.369195400,k_loop,alloc,0,-1,200,0.000012380
8000,32,8,4,1,18,4,0.369195784,1.295807464,k_loop,recv,0,2,200,0.926611680
8000,32,8,4,1,18,5,1.295812987,22.669700128,k_loop,compute,0,-1,-1,21.373887141
8000,32,8,4,1,18,6,22.670747551,22.670765132,k_loop,alloc,1,-1,101,0.000017581
8000,32,8,4,1,18,7,22.670766115,22.682262808,k_loop,recv,1,17,101,0.011496693
8000,32,8,4,1,18,8,22.684520702,22.684530160,k_loop,alloc,1,-1,201,0.000009458
8000,32,8,4,1,18,9,22.684531088,22.719754188,k_loop,recv,1,6,201,0.035223100
8000,32,8,4,1,18,10,22.719756191,43.501856683,k_loop,compute,1,-1,-1,20.782100492
8000,32,8,4,1,18,11,43.501870291,43.512707406,k_loop,send,2,16,102,0.010837115
8000,32,8,4,1,18,12,43.512708601,43.843275264,k_loop,send,2,17,102,0.330566663
8000,32,8,4,1,18,13,43.843277243,43.908096656,k_loop,send,2,19,102,0.064819413
8000,32,8,4,1,18,14,43.908107399,43.908108411,k_loop,alloc,2,-1,202,0.000001012
8000,32,8,4,1,18,15,43.908108870,44.044824616,k_loop,recv,2,10,202,0.136715746
8000,32,8,4,1,18,16,44.044826557,64.910981004,k_loop,compute,2,-1,-1,20.866154447
8000,32,8,4,1,18,17,64.911004998,64.911006025,k_loop,alloc,3,-1,103,0.000001027
8000,32,8,4,1,18,18,64.911006561,65.218792733,k_loop,recv,3,19,103,0.307786172
8000,32,8,4,1,18,19,65.218796189,65.218796675,k_loop,alloc,3,-1,203,0.000000486
8000,32,8,4,1,18,20,65.218797152,65.361126019,k_loop,recv,3,14,203,0.142328867
8000,32,8,4,1,18,21,65.361127191,86.256111634,k_loop,compute,3,-1,-1,20.894984443
8000,32,8,4,1,18,22,86.257143693,86.847107661,gather,send,-1,0,300,0.589963968
