N,p,Pr,Pc,rep,rank,seq,t_start,t_end,phase,kind,k,peer,tag,dur_sec
8000,32,8,4,1,15,0,0.000000000,0.309096017,scatter_a,recv,3,0,100,0.309096017
8000,32,8,4,1,15,1,0.309097960,1.125223290,scatter_b,recv,3,0,200,0.816125330
8000,32,8,4,1,15,2,1.125229799,1.125240436,k_loop,alloc,0,-1,100,0.000010637
8000,32,8,4,1,15,3,1.125240808,1.140508143,k_loop,recv,0,12,100,0.015267335
8000,32,8,4,1,15,4,1.140509165,1.140518402,k_loop,alloc,0,-1,200,0.000009237
8000,32,8,4,1,15,5,1.140518803,1.287121686,k_loop,recv,0,3,200,0.146602883
8000,32,8,4,1,15,6,1.287122786,22.404564505,k_loop,compute,0,-1,-1,21.117441719
8000,32,8,4,1,15,7,22.405598780,22.405619897,k_loop,alloc,1,-1,101,0.000021117
8000,32,8,4,1,15,8,22.405620768,22.416804646,k_loop,recv,1,13,101,0.011183878
8000,32,8,4,1,15,9,22.418900218,22.418909018,k_loop,alloc,1,-1,201,0.000008800
8000,32,8,4,1,15,10,22.418909995,22.711866397,k_loop,recv,1,7,201,0.292956402
8000,32,8,4,1,15,11,22.711868552,43.514854176,k_loop,compute,1,-1,-1,20.802985624
8000,32,8,4,1,15,12,43.514876644,43.514877272,k_loop,alloc,2,-1,102,0.000000628
8000,32,8,4,1,15,13,43.514877720,43.744613642,k_loop,recv,2,14,102,0.229735922
8000,32,8,4,1,15,14,43.744618236,43.744619154,k_loop,alloc,2,-1,202,0.000000918
8000,32,8,4,1,15,15,43.744619718,44.033103125,k_loop,recv,2,11,202,0.288483407
8000,32,8,4,1,15,16,44.033104144,64.887160800,k_loop,compute,2,-1,-1,20.854056656
8000,32,8,4,1,15,17,64.887172391,64.952043778,k_loop,send,3,12,103,0.064871387
8000,32,8,4,1,15,18,64.952045047,64.994850273,k_loop,send,3,13,103,0.042805226
8000,32,8,4,1,15,19,64.994851037,65.011047312,k_loop,send,3,14,103,0.016196275
8000,32,8,4,1,15,20,65.011048009,65.330117938,k_loop,send,3,3,203,0.319069929
8000,32,8,4,1,15,21,65.330119427,65.339537145,k_loop,send,3,7,203,0.009417718
8000,32,8,4,1,15,22,65.339537855,65.352469582,k_loop,send,3,11,203,0.012931727
8000,32,8,4,1,15,23,65.352470571,65.359971095,k_loop,send,3,19,203,0.007500524
8000,32,8,4,1,15,24,65.359971658,65.491802642,k_loop,send,3,23,203,0.131830984
8000,32,8,4,1,15,25,65.491803554,65.523541468,k_loop,send,3,27,203,0.031737914
8000,32,8,4,1,15,26,65.523542069,65.531141878,k_loop,send,3,31,203,0.007599809
8000,32,8,4,1,15,27,65.531143021,86.346733479,k_loop,compute,3,-1,-1,20.815590458
8000,32,8,4,1,15,28,86.349694393,86.792635682,gather,send,-1,0,300,0.442941289
