N,p,Pr,Pc,rep,rank,seq,t_start,t_end,phase,kind,k,peer,tag,dur_sec
8000,64,8,8,1,30,0,0.000000000,0.355686705,scatter_a,recv,6,0,100,0.355686705
8000,64,8,8,1,30,1,0.355689111,1.025782529,scatter_b,recv,3,0,200,0.670093418
8000,64,8,8,1,30,2,1.025789844,1.025803876,k_loop,alloc,0,-1,100,0.000014032
8000,64,8,8,1,30,3,1.025804359,1.031574355,k_loop,recv,0,24,100,0.005769996
8000,64,8,8,1,30,4,1.031575431,1.031587797,k_loop,alloc,0,-1,200,0.000012366
8000,64,8,8,1,30,5,1.031588256,1.483302931,k_loop,recv,0,6,200,0.451714675
8000,64,8,8,1,30,6,1.483304755,9.702070268,k_loop,compute,0,-1,-1,8.218765513
8000,64,8,8,1,30,7,9.702839284,9.702874055,k_loop,alloc,1,-1,101,0.000034771
8000,64,8,8,1,30,8,9.702875661,9.710527674,k_loop,recv,1,25,101,0.007652013
8000,64,8,8,1,30,9,9.711294900,9.711312043,k_loop,alloc,1,-1,201,0.000017143
8000,64,8,8,1,30,10,9.711314208,9.718389394,k_loop,recv,1,14,201,0.007075186
8000,64,8,8,1,30,11,9.718391309,17.451107100,k_loop,compute,1,-1,-1,7.732715791
8000,64,8,8,1,30,12,17.451131979,17.451132262,k_loop,alloc,2,-1,102,0.000000283
8000,64,8,8,1,30,13,17.451132982,17.677746278,k_loop,recv,2,26,102,0.226613296
8000,64,8,8,1,30,14,17.677750330,17.677751521,k_loop,alloc,2,-1,202,0.000001191
8000,64,8,8,1,30,15,17.677752155,17.680674481,k_loop,recv,2,22,202,0.002922326
8000,64,8,8,1,30,16,17.680675758,25.343365547,k_loop,compute,2,-1,-1,7.662689789
8000,64,8,8,1,30,17,25.343394885,25.343395644,k_loop,alloc,3,-1,103,0.000000759
8000,64,8,8,1,30,18,25.343396202,25.837887013,k_loop,recv,3,27,103,0.494490811
8000,64,8,8,1,30,19,25.837889615,25.841219590,k_loop,send,3,6,203,0.003329975
8000,64,8,8,1,30,20,25.841222081,25.844554257,k_loop,send,3,14,203,0.003332176
8000,64,8,8,1,30,21,25.844555570,25.850173848,k_loop,send,3,22,203,0.005618278
8000,64,8,8,1,30,22,25.850175407,25.852770513,k_loop,send,3,38,203,0.002595106
8000,64,8,8,1,30,23,25.852772262,25.856727560,k_loop,send,3,46,203,0.003955298
8000,64,8,8,1,30,24,25.856728687,25.859347537,k_loop,send,3,54,203,0.002618850
8000,64,8,8,1,30,25,25.859349677,25.863333725,k_loop,send,3,62,203,0.003984048
8000,64,8,8,1,30,26,25.863335560,33.430854522,k_loop,compute,3,-1,-1,7.567518962
8000,64,8,8,1,30,27,33.430859129,33.430859861,k_loop,alloc,4,-1,104,0.000000732
8000,64,8,8,1,30,28,33.430860479,33.729968942,k_loop,recv,4,28,104,0.299108463
8000,64,8,8,1,30,29,33.729971036,33.729971220,k_loop,alloc,4,-1,204,0.000000184
8000,64,8,8,1,30,30,33.729971741,34.187284049,k_loop,recv,4,38,204,0.457312308
8000,64,8,8,1,30,31,34.187293831,42.000516719,k_loop,compute,4,-1,-1,7.813222888
8000,64,8,8,1,30,32,42.000529158,42.000529440,k_loop,alloc,5,-1,105,0.000000282
8000,64,8,8,1,30,33,42.000529882,42.391225802,k_loop,recv,5,29,105,0.390695920
8000,64,8,8,1,30,34,42.391230398,42.391231114,k_loop,alloc,5,-1,205,0.000000716
8000,64,8,8,1,30,35,42.391244007,42.394311521,k_loop,recv,5,46,205,0.003067514
8000,64,8,8,1,30,36,42.394312574,49.741888103,k_loop,compute,5,-1,-1,7.347575529
8000,64,8,8,1,30,37,49.741905035,49.745109790,k_loop,send,6,24,106,0.003204755
8000,64,8,8,1,30,38,49.745110765,50.017109686,k_loop,send,6,25,106,0.271998921
8000,64,8,8,1,30,39,50.017111781,50.021515317,k_loop,send,6,26,106,0.004403536
8000,64,8,8,1,30,40,50.021516394,50.129409657,k_loop,send,6,27,106,0.107893263
8000,64,8,8,1,30,41,50.129411554,50.654371169,k_loop,send,6,28,106,0.524959615
8000,64,8,8,1,30,42,50.654375530,50.660396953,k_loop,send,6,29,106,0.006021423
8000,64,8,8,1,30,43,50.660398605,50.664492032,k_loop,send,6,31,106,0.004093427
8000,64,8,8,1,30,44,50.664506379,50.664507002,k_loop,alloc,6,-1,206,0.000000623
8000,64,8,8,1,30,45,50.664507641,50.667452537,k_loop,recv,6,54,206,0.002944896
8000,64,8,8,1,30,46,50.667454548,57.746172431,k_loop,compute,6,-1,-1,7.078717883
8000,64,8,8,1,30,47,57.746201608,57.746202952,k_loop,alloc,7,-1,107,0.000001344
8000,64,8,8,1,30,48,57.746203860,58.967823943,k_loop,recv,7,31,107,1.221620083
8000,64,8,8,1,30,49,58.967829975,58.967830602,k_loop,alloc,7,-1,207,0.000000627
8000,64,8,8,1,30,50,58.967831518,58.970792562,k_loop,recv,7,62,207,0.002961044
8000,64,8,8,1,30,51,58.970794282,66.561731719,k_loop,compute,7,-1,-1,7.590937437
8000,64,8,8,1,30,52,66.563284859,66.936613245,gather,send,-1,0,300,0.373328386
