N,p,Pr,Pc,rep,rank,seq,t_start,t_end,phase,kind,k,peer,tag,dur_sec
8000,32,8,4,1,8,0,0.000000000,0.174814639,scatter_a,recv,0,0,100,0.174814639
8000,32,8,4,1,8,1,0.174816464,0.904254140,scatter_b,recv,2,0,200,0.729437676
8000,32,8,4,1,8,2,0.904256496,0.951804986,k_loop,send,0,9,100,0.047548490
8000,32,8,4,1,8,3,0.951805514,0.989701276,k_loop,send,0,10,100,0.037895762
8000,32,8,4,1,8,4,0.989701805,1.024956059,k_loop,send,0,11,100,0.035254254
8000,32,8,4,1,8,5,1.024956621,1.024968992,k_loop,alloc,0,-1,200,0.000012371
8000,32,8,4,1,8,6,1.024969406,1.270364439,k_loop,recv,0,0,200,0.245395033
8000,32,8,4,1,8,7,1.270371353,22.285434707,k_loop,compute,0,-1,-1,21.015063354
8000,32,8,4,1,8,8,22.285443813,22.285470066,k_loop,alloc,1,-1,101,0.000026253
8000,32,8,4,1,8,9,22.285470439,22.307267930,k_loop,recv,1,9,101,0.021797491
8000,32,8,4,1,8,10,22.309508160,22.309521051,k_loop,alloc,1,-1,201,0.000012891
8000,32,8,4,1,8,11,22.309521899,22.673032772,k_loop,recv,1,4,201,0.363510873
8000,32,8,4,1,8,12,22.673034635,43.717214679,k_loop,compute,1,-1,-1,21.044180044
8000,32,8,4,1,8,13,43.718224489,43.718242508,k_loop,alloc,2,-1,102,0.000018019
8000,32,8,4,1,8,14,43.718243204,43.729111185,k_loop,recv,2,10,102,0.010867981
8000,32,8,4,1,8,15,43.729111932,43.859163818,k_loop,send,2,0,202,0.130051886
8000,32,8,4,1,8,16,43.859165091,43.878552517,k_loop,send,2,4,202,0.019387426
8000,32,8,4,1,8,17,43.878553688,43.885990148,k_loop,send,2,12,202,0.007436460
8000,32,8,4,1,8,18,43.885991253,43.893137325,k_loop,send,2,16,202,0.007146072
8000,32,8,4,1,8,19,43.893137978,43.900225868,k_loop,send,2,20,202,0.007087890
8000,32,8,4,1,8,20,43.900226371,44.151212999,k_loop,send,2,24,202,0.250986628
8000,32,8,4,1,8,21,44.151215585,44.158539082,k_loop,send,2,28,202,0.007323497
8000,32,8,4,1,8,22,44.158539670,64.851191681,k_loop,compute,2,-1,-1,20.692652011
8000,32,8,4,1,8,23,64.851212768,64.851215688,k_loop,alloc,3,-1,103,0.000002920
8000,32,8,4,1,8,24,64.851216087,65.270033697,k_loop,recv,3,11,103,0.418817610
8000,32,8,4,1,8,25,65.270040085,65.270040835,k_loop,alloc,3,-1,203,0.000000750
8000,32,8,4,1,8,26,65.270041276,65.337807879,k_loop,recv,3,12,203,0.067766603
8000,32,8,4,1,8,27,65.337809641,86.364668953,k_loop,compute,3,-1,-1,21.026859312
8000,32,8,4,1,8,28,86.367369169,86.639915921,gather,send,-1,0,300,0.272546752
