N,p,Pr,Pc,rep,rank,seq,t_start,t_end,phase,kind,k,peer,tag,dur_sec
8000,32,8,4,1,22,0,0.000000000,0.413273339,scatter_a,recv,2,0,100,0.413273339
8000,32,8,4,1,22,1,0.413275571,0.413287673,k_loop,alloc,0,-1,100,0.000012102
8000,32,8,4,1,22,2,0.413288131,0.423151493,k_loop,recv,0,20,100,0.009863362
8000,32,8,4,1,22,3,0.423152722,0.423163240,k_loop,alloc,0,-1,200,0.000010518
8000,32,8,4,1,22,4,0.423163632,1.313116977,k_loop,recv,0,2,200,0.889953345
8000,32,8,4,1,22,5,1.313124744,22.561913288,k_loop,compute,0,-1,-1,21.248788544
8000,32,8,4,1,22,6,22.562835713,22.562856131,k_loop,alloc,1,-1,101,0.000020418
8000,32,8,4,1,22,7,22.562856902,22.573771354,k_loop,recv,1,21,101,0.010914452
8000,32,8,4,1,22,8,22.575794265,22.575803919,k_loop,alloc,1,-1,201,0.000009654
8000,32,8,4,1,22,9,22.575804802,22.739173335,k_loop,recv,1,6,201,0.163368533
8000,32,8,4,1,22,10,22.739175628,43.574846425,k_loop,compute,1,-1,-1,20.835670797
8000,32,8,4,1,22,11,43.574860067,43.585568116,k_loop,send,2,20,102,0.010708049
8000,32,8,4,1,22,12,43.585568634,43.628727947,k_loop,send,2,21,102,0.043159313
8000,32,8,4,1,22,13,43.628730386,44.102688268,k_loop,send,2,23,102,0.473957882
8000,32,8,4,1,22,14,44.102691857,44.102693186,k_loop,alloc,2,-1,202,0.000001329
8000,32,8,4,1,22,15,44.102693603,44.110652553,k_loop,recv,2,10,202,0.007958950
8000,32,8,4,1,22,16,44.110655370,65.023075633,k_loop,compute,2,-1,-1,20.912420263
8000,32,8,4,1,22,17,65.023098317,65.023098678,k_loop,alloc,3,-1,103,0.000000361
8000,32,8,4,1,22,18,65.023099099,65.484003647,k_loop,recv,3,23,103,0.460904548
8000,32,8,4,1,22,19,65.484007090,65.484008006,k_loop,alloc,3,-1,203,0.000000916
8000,32,8,4,1,22,20,65.484008427,65.491842608,k_loop,recv,3,14,203,0.007834181
8000,32,8,4,1,22,21,65.491844222,86.286489915,k_loop,compute,3,-1,-1,20.794645693
8000,32,8,4,1,22,22,86.287500323,86.925689546,gather,send,-1,0,300,0.638189223
