N,p,Pr,Pc,rep,rank,seq,t_start,t_end,phase,kind,k,peer,tag,dur_sec
8000,32,8,4,1,10,0,0.000000000,0.213581411,scatter_a,recv,2,0,100,0.213581411
8000,32,8,4,1,10,1,0.213583844,0.979669975,scatter_b,recv,2,0,200,0.766086131
8000,32,8,4,1,10,2,0.979672567,0.979687853,k_loop,alloc,0,-1,100,0.000015286
8000,32,8,4,1,10,3,0.979688268,0.989644325,k_loop,recv,0,8,100,0.009956057
8000,32,8,4,1,10,4,0.989646413,0.989659451,k_loop,alloc,0,-1,200,0.000013038
8000,32,8,4,1,10,5,0.989659958,1.261004547,k_loop,recv,0,2,200,0.271344589
8000,32,8,4,1,10,6,1.261009845,22.335057485,k_loop,compute,0,-1,-1,21.074047640
8000,32,8,4,1,10,7,22.336058279,22.336078973,k_loop,alloc,1,-1,101,0.000020694
8000,32,8,4,1,10,8,22.336080191,22.346813246,k_loop,recv,1,9,101,0.010733055
8000,32,8,4,1,10,9,22.349225994,22.349235812,k_loop,alloc,1,-1,201,0.000009818
8000,32,8,4,1,10,10,22.349236852,22.681528677,k_loop,recv,1,6,201,0.332291825
8000,32,8,4,1,10,11,22.681530634,43.616346023,k_loop,compute,1,-1,-1,20.934815389
8000,32,8,4,1,10,12,43.616359027,43.729058529,k_loop,send,2,8,102,0.112699502
8000,32,8,4,1,10,13,43.729060814,43.976957511,k_loop,send,2,9,102,0.247896697
8000,32,8,4,1,10,14,43.976959590,43.983228249,k_loop,send,2,11,102,0.006268659
8000,32,8,4,1,10,15,43.983228817,44.009111735,k_loop,send,2,2,202,0.025882918
8000,32,8,4,1,10,16,44.009113492,44.029542969,k_loop,send,2,6,202,0.020429477
8000,32,8,4,1,10,17,44.029544422,44.037074370,k_loop,send,2,14,202,0.007529948
8000,32,8,4,1,10,18,44.037075742,44.044827540,k_loop,send,2,18,202,0.007751798
8000,32,8,4,1,10,19,44.044828244,44.110680799,k_loop,send,2,22,202,0.065852555
8000,32,8,4,1,10,20,44.110682660,44.168442169,k_loop,send,2,26,202,0.057759509
8000,32,8,4,1,10,21,44.168444369,44.176017027,k_loop,send,2,30,202,0.007572658
8000,32,8,4,1,10,22,44.176017835,65.045989618,k_loop,compute,2,-1,-1,20.869971783
8000,32,8,4,1,10,23,65.046015851,65.046016258,k_loop,alloc,3,-1,103,0.000000407
8000,32,8,4,1,10,24,65.046016626,65.284690170,k_loop,recv,3,11,103,0.238673544
8000,32,8,4,1,10,25,65.284694054,65.284694882,k_loop,alloc,3,-1,203,0.000000828
8000,32,8,4,1,10,26,65.284695661,65.353462408,k_loop,recv,3,14,203,0.068766747
8000,32,8,4,1,10,27,65.353464064,86.290960158,k_loop,compute,3,-1,-1,20.937496094
8000,32,8,4,1,10,28,86.293690371,86.686179166,gather,send,-1,0,300,0.392488795
