N,p,Pr,Pc,rep,rank,seq,t_start,t_end,phase,kind,k,peer,tag,dur_sec
8000,64,8,8,1,7,0,0.000000000,0.099610827,scatter_a,recv,7,0,100,0.099610827
8000,64,8,8,1,7,1,0.099613249,0.794808002,scatter_b,recv,0,0,200,0.695194753
8000,64,8,8,1,7,2,0.794816272,0.794835200,k_loop,alloc,0,-1,100,0.000018928
8000,64,8,8,1,7,3,0.794835707,1.470640642,k_loop,recv,0,0,100,0.675804935
8000,64,8,8,1,7,4,1.470642586,1.476589793,k_loop,send,0,15,200,0.005947207
8000,64,8,8,1,7,5,1.476591385,1.483125919,k_loop,send,0,23,200,0.006534534
8000,64,8,8,1,7,6,1.483127169,1.489287744,k_loop,send,0,31,200,0.006160575
8000,64,8,8,1,7,7,1.489288948,1.495687118,k_loop,send,0,39,200,0.006398170
8000,64,8,8,1,7,8,1.495688829,1.502182764,k_loop,send,0,47,200,0.006493935
8000,64,8,8,1,7,9,1.502184583,1.506992633,k_loop,send,0,55,200,0.004808050
8000,64,8,8,1,7,10,1.506994371,1.513404721,k_loop,send,0,63,200,0.006410350
8000,64,8,8,1,7,11,1.513406299,9.352341515,k_loop,compute,0,-1,-1,7.838935216
8000,64,8,8,1,7,12,9.353088602,9.353110061,k_loop,alloc,1,-1,101,0.000021459
8000,64,8,8,1,7,13,9.353110645,9.642832414,k_loop,recv,1,1,101,0.289721769
8000,64,8,8,1,7,14,9.642835296,9.642853521,k_loop,alloc,1,-1,201,0.000018225
8000,64,8,8,1,7,15,9.642854281,9.650503335,k_loop,recv,1,15,201,0.007649054
8000,64,8,8,1,7,16,9.650504415,17.402453861,k_loop,compute,1,-1,-1,7.751949446
8000,64,8,8,1,7,17,17.402481792,17.402482519,k_loop,alloc,2,-1,102,0.000000727
8000,64,8,8,1,7,18,17.402483175,17.481655398,k_loop,recv,2,2,102,0.079172223
8000,64,8,8,1,7,19,17.481658925,17.481659374,k_loop,alloc,2,-1,202,0.000000449
8000,64,8,8,1,7,20,17.481660109,17.614727879,k_loop,recv,2,23,202,0.133067770
8000,64,8,8,1,7,21,17.614728913,25.168651341,k_loop,compute,2,-1,-1,7.553922428
8000,64,8,8,1,7,22,25.168678071,25.168678551,k_loop,alloc,3,-1,103,0.000000480
8000,64,8,8,1,7,23,25.168679110,25.524424346,k_loop,recv,3,3,103,0.355745236
8000,64,8,8,1,7,24,25.524427058,25.524427420,k_loop,alloc,3,-1,203,0.000000362
8000,64,8,8,1,7,25,25.524427844,25.846283364,k_loop,recv,3,31,203,0.321855520
8000,64,8,8,1,7,26,25.846285360,33.694769342,k_loop,compute,3,-1,-1,7.848483982
8000,64,8,8,1,7,27,33.694772031,33.694772370,k_loop,alloc,4,-1,104,0.000000339
8000,64,8,8,1,7,28,33.694772920,33.697763327,k_loop,recv,4,4,104,0.002990407
8000,64,8,8,1,7,29,33.697765810,33.697765971,k_loop,alloc,4,-1,204,0.000000161
8000,64,8,8,1,7,30,33.697766328,34.175980000,k_loop,recv,4,39,204,0.478213672
8000,64,8,8,1,7,31,34.175990733,41.861725705,k_loop,compute,4,-1,-1,7.685734972
8000,64,8,8,1,7,32,41.861740877,41.861741372,k_loop,alloc,5,-1,105,0.000000495
8000,64,8,8,1,7,33,41.861741899,42.052961105,k_loop,recv,5,5,105,0.191219206
8000,64,8,8,1,7,34,42.052963813,42.052964056,k_loop,alloc,5,-1,205,0.000000243
8000,64,8,8,1,7,35,42.052975240,42.201265227,k_loop,recv,5,47,205,0.148289987
8000,64,8,8,1,7,36,42.201266864,49.678978293,k_loop,compute,5,-1,-1,7.477711429
8000,64,8,8,1,7,37,49.679008929,49.679009636,k_loop,alloc,6,-1,106,0.000000707
8000,64,8,8,1,7,38,49.679010197,50.057952585,k_loop,recv,6,6,106,0.378942388
8000,64,8,8,1,7,39,50.057956206,50.057956496,k_loop,alloc,6,-1,206,0.000000290
8000,64,8,8,1,7,40,50.057956956,50.363392639,k_loop,recv,6,55,206,0.305435683
8000,64,8,8,1,7,41,50.363394211,57.626420000,k_loop,compute,6,-1,-1,7.263025789
8000,64,8,8,1,7,42,57.626424428,57.637594603,k_loop,send,7,0,107,0.011170175
8000,64,8,8,1,7,43,57.637596846,57.641012340,k_loop,send,7,1,107,0.003415494
8000,64,8,8,1,7,44,57.641013691,57.643886070,k_loop,send,7,2,107,0.002872379
8000,64,8,8,1,7,45,57.643887409,57.646488763,k_loop,send,7,3,107,0.002601354
8000,64,8,8,1,7,46,57.646490554,57.982095718,k_loop,send,7,4,107,0.335605164
8000,64,8,8,1,7,47,57.982097576,57.984575554,k_loop,send,7,5,107,0.002477978
8000,64,8,8,1,7,48,57.984576460,58.336982452,k_loop,send,7,6,107,0.352405992
8000,64,8,8,1,7,49,58.336984879,58.336985470,k_loop,alloc,7,-1,207,0.000000591
8000,64,8,8,1,7,50,58.336985978,58.340422189,k_loop,recv,7,63,207,0.003436211
8000,64,8,8,1,7,51,58.340423484,65.101078837,k_loop,compute,7,-1,-1,6.760655353
8000,64,8,8,1,7,52,65.102456116,66.079161616,gather,send,-1,0,300,0.976705500
