N,p,Pr,Pc,rep,rank,seq,t_start,t_end,phase,kind,k,peer,tag,dur_sec
8000,64,8,8,1,51,0,0.000000000,0.574005200,scatter_a,recv,3,0,100,0.574005200
8000,64,8,8,1,51,1,0.574007896,1.219184190,scatter_b,recv,6,0,200,0.645176294
8000,64,8,8,1,51,2,1.219192166,1.219211800,k_loop,alloc,0,-1,100,0.000019634
8000,64,8,8,1,51,3,1.219212298,1.226177533,k_loop,recv,0,48,100,0.006965235
8000,64,8,8,1,51,4,1.226178596,1.226188625,k_loop,alloc,0,-1,200,0.000010029
8000,64,8,8,1,51,5,1.226189071,1.482162845,k_loop,recv,0,3,200,0.255973774
8000,64,8,8,1,51,6,1.482165203,9.275764750,k_loop,compute,0,-1,-1,7.793599547
8000,64,8,8,1,51,7,9.276539527,9.276561364,k_loop,alloc,1,-1,101,0.000021837
8000,64,8,8,1,51,8,9.276562115,9.472201008,k_loop,recv,1,49,101,0.195638893
8000,64,8,8,1,51,9,9.472902566,9.472911734,k_loop,alloc,1,-1,201,0.000009168
8000,64,8,8,1,51,10,9.472913009,9.603869721,k_loop,recv,1,11,201,0.130956712
8000,64,8,8,1,51,11,9.603872163,17.243594122,k_loop,compute,1,-1,-1,7.639721959
8000,64,8,8,1,51,12,17.243618123,17.243619040,k_loop,alloc,2,-1,102,0.000000917
8000,64,8,8,1,51,13,17.243619514,17.379451861,k_loop,recv,2,50,102,0.135832347
8000,64,8,8,1,51,14,17.379455178,17.379456044,k_loop,alloc,2,-1,202,0.000000866
8000,64,8,8,1,51,15,17.379456633,17.613532494,k_loop,recv,2,19,202,0.234075861
8000,64,8,8,1,51,16,17.613534068,25.618044480,k_loop,compute,2,-1,-1,8.004510412
8000,64,8,8,1,51,17,25.618058063,25.629802747,k_loop,send,3,48,103,0.011744684
8000,64,8,8,1,51,18,25.629803641,25.634573790,k_loop,send,3,49,103,0.004770149
8000,64,8,8,1,51,19,25.634574699,25.639695809,k_loop,send,3,50,103,0.005121110
8000,64,8,8,1,51,20,25.639696350,25.644029989,k_loop,send,3,52,103,0.004333639
8000,64,8,8,1,51,21,25.644030528,25.648413591,k_loop,send,3,53,103,0.004383063
8000,64,8,8,1,51,22,25.648414155,25.653200152,k_loop,send,3,54,103,0.004785997
8000,64,8,8,1,51,23,25.653200625,25.657509101,k_loop,send,3,55,103,0.004308476
8000,64,8,8,1,51,24,25.657512488,25.657513616,k_loop,alloc,3,-1,203,0.000001128
8000,64,8,8,1,51,25,25.657514093,25.864762078,k_loop,recv,3,27,203,0.207247985
8000,64,8,8,1,51,26,25.864764369,33.598503826,k_loop,compute,3,-1,-1,7.733739457
8000,64,8,8,1,51,27,33.598517632,33.598518619,k_loop,alloc,4,-1,104,0.000000987
8000,64,8,8,1,51,28,33.598519177,34.157208871,k_loop,recv,4,52,104,0.558689694
8000,64,8,8,1,51,29,34.157226711,34.157227696,k_loop,alloc,4,-1,204,0.000000985
8000,64,8,8,1,51,30,34.157228399,34.185937526,k_loop,recv,4,35,204,0.028709127
8000,64,8,8,1,51,31,34.185939527,41.853006563,k_loop,compute,4,-1,-1,7.667067036
8000,64,8,8,1,51,32,41.853011992,41.853013104,k_loop,alloc,5,-1,105,0.000001112
8000,64,8,8,1,51,33,41.853013632,42.123171153,k_loop,recv,5,53,105,0.270157521
8000,64,8,8,1,51,34,42.123173559,42.123174788,k_loop,alloc,5,-1,205,0.000001229
8000,64,8,8,1,51,35,42.123187826,42.243053789,k_loop,recv,5,43,205,0.119865963
8000,64,8,8,1,51,36,42.243056265,46.253073540,k_loop,compute,5,-1,-1,4.010017275
8000,64,8,8,1,51,37,46.253078019,46.253078648,k_loop,alloc,6,-1,106,0.000000629
8000,64,8,8,1,51,38,46.253079073,49.900369195,k_loop,recv,6,54,106,3.647290122
8000,64,8,8,1,51,39,49.900381527,50.048686016,k_loop,send,6,3,206,0.148304489
8000,64,8,8,1,51,40,50.048689724,50.267654093,k_loop,send,6,11,206,0.218964369
8000,64,8,8,1,51,41,50.267657122,50.395066431,k_loop,send,6,19,206,0.127409309
8000,64,8,8,1,51,42,50.395069795,50.397583869,k_loop,send,6,27,206,0.002514074
8000,64,8,8,1,51,43,50.397585368,50.401620725,k_loop,send,6,35,206,0.004035357
8000,64,8,8,1,51,44,50.401622112,50.406827271,k_loop,send,6,43,206,0.005205159
8000,64,8,8,1,51,45,50.406827990,50.409320837,k_loop,send,6,59,206,0.002492847
8000,64,8,8,1,51,46,50.409321429,52.973806592,k_loop,compute,6,-1,-1,2.564485163
8000,64,8,8,1,51,47,52.973823853,52.973824685,k_loop,alloc,7,-1,107,0.000000832
8000,64,8,8,1,51,48,52.973825119,57.973891786,k_loop,recv,7,55,107,5.000066667
8000,64,8,8,1,51,49,57.973895859,57.973896656,k_loop,alloc,7,-1,207,0.000000797
8000,64,8,8,1,51,50,57.973897092,58.603496372,k_loop,recv,7,59,207,0.629599280
8000,64,8,8,1,51,51,58.603498757,61.072110178,k_loop,compute,7,-1,-1,2.468611421
8000,64,8,8,1,51,52,61.074212451,67.454044144,gather,send,-1,0,300,6.379831693
