N,p,Pr,Pc,rep,rank,seq,t_start,t_end,phase,kind,k,peer,tag,dur_sec
8000,16,4,4,1,11,0,0.000000000,0.507709520,scatter_a,recv,3,0,100,0.507709520
8000,16,4,4,1,11,1,0.507712053,1.129869416,scatter_b,recv,2,0,200,0.622157363
8000,16,4,4,1,11,2,1.129872783,1.129886065,k_loop,alloc,0,-1,100,0.000013282
8000,16,4,4,1,11,3,1.129886534,1.147469708,k_loop,recv,0,8,100,0.017583174
8000,16,4,4,1,11,4,1.147471972,1.147483670,k_loop,alloc,0,-1,200,0.000011698
8000,16,4,4,1,11,5,1.147484135,1.418048827,k_loop,recv,0,3,200,0.270564692
8000,16,4,4,1,11,6,1.418053860,42.542278840,k_loop,compute,0,-1,-1,41.124224980
8000,16,4,4,1,11,7,42.544157759,42.544176836,k_loop,alloc,1,-1,101,0.000019077
8000,16,4,4,1,11,8,42.544177713,43.546240625,k_loop,recv,1,9,101,1.002062912
8000,16,4,4,1,11,9,43.548205372,43.548214814,k_loop,alloc,1,-1,201,0.000009442
8000,16,4,4,1,11,10,43.548215737,43.743614036,k_loop,recv,1,7,201,0.195398299
8000,16,4,4,1,11,11,43.743615655,84.968423083,k_loop,compute,1,-1,-1,41.224807428
8000,16,4,4,1,11,12,84.968443846,84.968446189,k_loop,alloc,2,-1,102,0.000002343
8000,16,4,4,1,11,13,84.968446598,85.844304918,k_loop,recv,2,10,102,0.875858320
8000,16,4,4,1,11,14,85.844307577,85.854227230,k_loop,send,2,3,202,0.009919653
8000,16,4,4,1,11,15,85.854227696,86.212395482,k_loop,send,2,7,202,0.358167786
8000,16,4,4,1,11,16,86.212397679,86.219603658,k_loop,send,2,15,202,0.007205979
8000,16,4,4,1,11,17,86.219604202,128.044146251,k_loop,compute,2,-1,-1,41.824542049
8000,16,4,4,1,11,18,128.044153715,128.082736588,k_loop,send,3,8,103,0.038582873
8000,16,4,4,1,11,19,128.082739187,128.103339651,k_loop,send,3,9,103,0.020600464
8000,16,4,4,1,11,20,128.103340785,128.538582407,k_loop,send,3,10,103,0.435241622
8000,16,4,4,1,11,21,128.538587737,128.538588783,k_loop,alloc,3,-1,203,0.000001046
8000,16,4,4,1,11,22,128.538589409,128.609782518,k_loop,recv,3,15,203,0.071193109
8000,16,4,4,1,11,23,128.609783926,169.767842264,k_loop,compute,3,-1,-1,41.158058338
8000,16,4,4,1,11,24,169.776967215,171.032764105,gather,send,-1,0,300,1.255796890
