N,p,Pr,Pc,rep,rank,seq,t_start,t_end,phase,kind,k,peer,tag,dur_sec
8000,4,2,2,1,3,0,0.000000000,0.770074444,scatter_a,recv,1,0,100,0.770074444
8000,4,2,2,1,3,1,0.770077956,1.539196523,scatter_b,recv,1,0,200,0.769118567
8000,4,2,2,1,3,2,1.539203510,1.539220671,k_loop,alloc,0,-1,100,0.000017161
8000,4,2,2,1,3,3,1.539221264,1.707104681,k_loop,recv,0,2,100,0.167883417
8000,4,2,2,1,3,4,1.707108472,1.707123160,k_loop,alloc,0,-1,200,0.000014688
8000,4,2,2,1,3,5,1.707123692,1.864889185,k_loop,recv,0,1,200,0.157765493
8000,4,2,2,1,3,6,1.864890509,466.004061408,k_loop,compute,0,-1,-1,464.139170899
8000,4,2,2,1,3,7,466.004071564,466.172332365,k_loop,send,1,2,101,0.168260801
8000,4,2,2,1,3,8,466.172333967,466.256596450,k_loop,send,1,1,201,0.084262483
8000,4,2,2,1,3,9,466.256599131,930.916117093,k_loop,compute,1,-1,-1,464.659517962
8000,4,2,2,1,3,10,930.948747449,931.107336397,gather,send,-1,0,300,0.158588948
