N,p,Pr,Pc,rep,rank,seq,t_start,t_end,phase,kind,k,peer,tag,dur_sec
8000,64,8,8,1,23,0,0.000000000,0.276839506,scatter_a,recv,7,0,100,0.276839506
8000,64,8,8,1,23,1,0.276841830,0.972362248,scatter_b,recv,2,0,200,0.695520418
8000,64,8,8,1,23,2,0.972368655,0.972381321,k_loop,alloc,0,-1,100,0.000012666
8000,64,8,8,1,23,3,0.972381782,0.978302897,k_loop,recv,0,16,100,0.005921115
8000,64,8,8,1,23,4,0.978303830,0.978314781,k_loop,alloc,0,-1,200,0.000010951
8000,64,8,8,1,23,5,0.978315379,1.483004347,k_loop,recv,0,7,200,0.504688968
8000,64,8,8,1,23,6,1.483006281,9.268205263,k_loop,compute,0,-1,-1,7.785198982
8000,64,8,8,1,23,7,9.268941278,9.268967292,k_loop,alloc,1,-1,101,0.000026014
8000,64,8,8,1,23,8,9.268968656,9.601075927,k_loop,recv,1,17,101,0.332107271
8000,64,8,8,1,23,9,9.601921738,9.601933914,k_loop,alloc,1,-1,201,0.000012176
8000,64,8,8,1,23,10,9.601935066,9.657296026,k_loop,recv,1,15,201,0.055360960
8000,64,8,8,1,23,11,9.657297264,17.217834894,k_loop,compute,1,-1,-1,7.560537630
8000,64,8,8,1,23,12,17.217863960,17.217864797,k_loop,alloc,2,-1,102,0.000000837
8000,64,8,8,1,23,13,17.217865545,17.611389230,k_loop,recv,2,18,102,0.393523685
8000,64,8,8,1,23,14,17.611391182,17.614616147,k_loop,send,2,7,202,0.003224965
8000,64,8,8,1,23,15,17.614616695,17.646617901,k_loop,send,2,15,202,0.032001206
8000,64,8,8,1,23,16,17.646619956,17.686651470,k_loop,send,2,31,202,0.040031514
8000,64,8,8,1,23,17,17.686652701,17.689271714,k_loop,send,2,39,202,0.002619013
8000,64,8,8,1,23,18,17.689272337,17.691819289,k_loop,send,2,47,202,0.002546952
8000,64,8,8,1,23,19,17.691819979,17.695644805,k_loop,send,2,55,202,0.003824826
8000,64,8,8,1,23,20,17.695646135,17.698065993,k_loop,send,2,63,202,0.002419858
8000,64,8,8,1,23,21,17.698066885,25.356038972,k_loop,compute,2,-1,-1,7.657972087
8000,64,8,8,1,23,22,25.356070480,25.356071183,k_loop,alloc,3,-1,103,0.000000703
8000,64,8,8,1,23,23,25.356071605,25.807275706,k_loop,recv,3,19,103,0.451204101
8000,64,8,8,1,23,24,25.807278437,25.807278955,k_loop,alloc,3,-1,203,0.000000518
8000,64,8,8,1,23,25,25.807279482,25.856757160,k_loop,recv,3,31,203,0.049477678
8000,64,8,8,1,23,26,25.856758704,33.499471254,k_loop,compute,3,-1,-1,7.642712550
8000,64,8,8,1,23,27,33.499476306,33.499477098,k_loop,alloc,4,-1,104,0.000000792
8000,64,8,8,1,23,28,33.499477793,33.785601214,k_loop,recv,4,20,104,0.286123421
8000,64,8,8,1,23,29,33.785602935,33.785603208,k_loop,alloc,4,-1,204,0.000000273
8000,64,8,8,1,23,30,33.785603687,34.185989972,k_loop,recv,4,39,204,0.400386285
8000,64,8,8,1,23,31,34.185997501,41.936430342,k_loop,compute,4,-1,-1,7.750432841
8000,64,8,8,1,23,32,41.936444871,41.936445150,k_loop,alloc,5,-1,105,0.000000279
8000,64,8,8,1,23,33,41.936445660,42.241390133,k_loop,recv,5,21,105,0.304944473
8000,64,8,8,1,23,34,42.241392581,42.241393253,k_loop,alloc,5,-1,205,0.000000672
8000,64,8,8,1,23,35,42.241407479,42.244073929,k_loop,recv,5,47,205,0.002666450
8000,64,8,8,1,23,36,42.244074939,49.636899925,k_loop,compute,5,-1,-1,7.392824986
8000,64,8,8,1,23,37,49.636929639,49.636930550,k_loop,alloc,6,-1,106,0.000000911
8000,64,8,8,1,23,38,49.636931259,50.404007321,k_loop,recv,6,22,106,0.767076062
8000,64,8,8,1,23,39,50.404009813,50.404010439,k_loop,alloc,6,-1,206,0.000000626
8000,64,8,8,1,23,40,50.404010990,50.406567796,k_loop,recv,6,55,206,0.002556806
8000,64,8,8,1,23,41,50.406568642,57.538492197,k_loop,compute,6,-1,-1,7.131923555
8000,64,8,8,1,23,42,57.538495053,57.923448503,k_loop,send,7,16,107,0.384953450
8000,64,8,8,1,23,43,57.923451793,57.926540350,k_loop,send,7,17,107,0.003088557
8000,64,8,8,1,23,44,57.926540978,58.587314120,k_loop,send,7,18,107,0.660773142
8000,64,8,8,1,23,45,58.587317803,58.589890443,k_loop,send,7,19,107,0.002572640
8000,64,8,8,1,23,46,58.589891622,58.592741602,k_loop,send,7,20,107,0.002849980
8000,64,8,8,1,23,47,58.592742422,58.595295202,k_loop,send,7,21,107,0.002552780
8000,64,8,8,1,23,48,58.595295731,58.600148357,k_loop,send,7,22,107,0.004852626
8000,64,8,8,1,23,49,58.600151637,58.600152351,k_loop,alloc,7,-1,207,0.000000714
8000,64,8,8,1,23,50,58.600153077,58.602701536,k_loop,recv,7,63,207,0.002548459
8000,64,8,8,1,23,51,58.602702530,65.826659068,k_loop,compute,7,-1,-1,7.223956538
8000,64,8,8,1,23,52,65.827997539,66.845431365,gather,send,-1,0,300,1.017433826
