N,p,Pr,Pc,rep,rank,seq,t_start,t_end,phase,kind,k,peer,tag,dur_sec
8000,64,8,8,1,14,0,0.000000000,0.177562393,scatter_a,recv,6,0,100,0.177562393
8000,64,8,8,1,14,1,0.177564930,0.875510001,scatter_b,recv,1,0,200,0.697945071
8000,64,8,8,1,14,2,0.875517393,0.875532084,k_loop,alloc,0,-1,100,0.000014691
8000,64,8,8,1,14,3,0.875532593,0.881840671,k_loop,recv,0,8,100,0.006308078
8000,64,8,8,1,14,4,0.881841987,0.881856874,k_loop,alloc,0,-1,200,0.000014887
8000,64,8,8,1,14,5,0.881857305,1.470246759,k_loop,recv,0,6,200,0.588389454
8000,64,8,8,1,14,6,1.470248794,9.415794345,k_loop,compute,0,-1,-1,7.945545551
8000,64,8,8,1,14,7,9.416590688,9.416620416,k_loop,alloc,1,-1,101,0.000029728
8000,64,8,8,1,14,8,9.416622050,9.443852998,k_loop,recv,1,9,101,0.027230948
8000,64,8,8,1,14,9,9.443854848,9.643647828,k_loop,send,1,6,201,0.199792980
8000,64,8,8,1,14,10,9.643649695,9.651914637,k_loop,send,1,22,201,0.008264942
8000,64,8,8,1,14,11,9.651915978,9.718476597,k_loop,send,1,30,201,0.066560619
8000,64,8,8,1,14,12,9.718479469,9.725577185,k_loop,send,1,38,201,0.007097716
8000,64,8,8,1,14,13,9.725578379,9.730849561,k_loop,send,1,46,201,0.005271182
8000,64,8,8,1,14,14,9.730851471,9.737600036,k_loop,send,1,54,201,0.006748565
8000,64,8,8,1,14,15,9.737601471,9.744525562,k_loop,send,1,62,201,0.006924091
8000,64,8,8,1,14,16,9.744527468,17.536263006,k_loop,compute,1,-1,-1,7.791735538
8000,64,8,8,1,14,17,17.536285787,17.536286158,k_loop,alloc,2,-1,102,0.000000371
8000,64,8,8,1,14,18,17.536286661,17.634220453,k_loop,recv,2,10,102,0.097933792
8000,64,8,8,1,14,19,17.635153294,17.635176608,k_loop,alloc,2,-1,202,0.000023314
8000,64,8,8,1,14,20,17.635178148,17.642709209,k_loop,recv,2,22,202,0.007531061
8000,64,8,8,1,14,21,17.642710613,25.357524344,k_loop,compute,2,-1,-1,7.714813731
8000,64,8,8,1,14,22,25.357547844,25.357548376,k_loop,alloc,3,-1,103,0.000000532
8000,64,8,8,1,14,23,25.357548828,25.705920395,k_loop,recv,3,11,103,0.348371567
8000,64,8,8,1,14,24,25.705925750,25.705926456,k_loop,alloc,3,-1,203,0.000000706
8000,64,8,8,1,14,25,25.705927074,25.844624324,k_loop,recv,3,30,203,0.138697250
8000,64,8,8,1,14,26,25.844626656,33.315217197,k_loop,compute,3,-1,-1,7.470590541
8000,64,8,8,1,14,27,33.315221837,33.315223175,k_loop,alloc,4,-1,104,0.000001338
8000,64,8,8,1,14,28,33.315223730,33.808607346,k_loop,recv,4,12,104,0.493383616
8000,64,8,8,1,14,29,33.808609795,33.808610373,k_loop,alloc,4,-1,204,0.000000578
8000,64,8,8,1,14,30,33.808610835,34.176245086,k_loop,recv,4,38,204,0.367634251
8000,64,8,8,1,14,31,34.176255046,41.949178208,k_loop,compute,4,-1,-1,7.772923162
8000,64,8,8,1,14,32,41.949191460,41.949192187,k_loop,alloc,5,-1,105,0.000000727
8000,64,8,8,1,14,33,41.949192752,42.209022945,k_loop,recv,5,13,105,0.259830193
8000,64,8,8,1,14,34,42.209027549,42.209028240,k_loop,alloc,5,-1,205,0.000000691
8000,64,8,8,1,14,35,42.209045722,42.212335446,k_loop,recv,5,46,205,0.003289724
8000,64,8,8,1,14,36,42.212337201,49.932731647,k_loop,compute,5,-1,-1,7.720394446
8000,64,8,8,1,14,37,49.932747309,49.937764799,k_loop,send,6,8,106,0.005017490
8000,64,8,8,1,14,38,49.937765344,49.943465233,k_loop,send,6,9,106,0.005699889
8000,64,8,8,1,14,39,49.943466527,50.260478202,k_loop,send,6,10,106,0.317011675
8000,64,8,8,1,14,40,50.260482523,50.264370732,k_loop,send,6,11,106,0.003888209
8000,64,8,8,1,14,41,50.264372540,50.268483631,k_loop,send,6,12,106,0.004111091
8000,64,8,8,1,14,42,50.268485556,50.273880067,k_loop,send,6,13,106,0.005394511
8000,64,8,8,1,14,43,50.273882387,50.278903526,k_loop,send,6,15,106,0.005021139
8000,64,8,8,1,14,44,50.278916951,50.278917869,k_loop,alloc,6,-1,206,0.000000918
8000,64,8,8,1,14,45,50.278918589,50.366352934,k_loop,recv,6,54,206,0.087434345
8000,64,8,8,1,14,46,50.366354536,58.090685658,k_loop,compute,6,-1,-1,7.724331122
8000,64,8,8,1,14,47,58.090698435,58.090698982,k_loop,alloc,7,-1,107,0.000000547
8000,64,8,8,1,14,48,58.090699433,58.278665584,k_loop,recv,7,15,107,0.187966151
8000,64,8,8,1,14,49,58.278668365,58.278668856,k_loop,alloc,7,-1,207,0.000000491
8000,64,8,8,1,14,50,58.278669430,58.343256194,k_loop,recv,7,62,207,0.064586764
8000,64,8,8,1,14,51,58.343257457,65.909974543,k_loop,compute,7,-1,-1,7.566717086
8000,64,8,8,1,14,52,65.911476011,66.206933542,gather,send,-1,0,300,0.295457531
