N,p,Pr,Pc,rep,rank,seq,t_start,t_end,phase,kind,k,peer,tag,dur_sec
8000,64,8,8,1,59,0,0.000000000,0.662971264,scatter_a,recv,3,0,100,0.662971264
8000,64,8,8,1,59,1,0.662979969,1.284890878,scatter_b,recv,7,0,200,0.621910909
8000,64,8,8,1,59,2,1.284892714,1.284916599,k_loop,alloc,0,-1,100,0.000023885
8000,64,8,8,1,59,3,1.284917050,1.294907133,k_loop,recv,0,56,100,0.009990083
8000,64,8,8,1,59,4,1.294908220,1.294918446,k_loop,alloc,0,-1,200,0.000010226
8000,64,8,8,1,59,5,1.294918909,1.488146353,k_loop,recv,0,3,200,0.193227444
8000,64,8,8,1,59,6,1.488147954,8.974136227,k_loop,compute,0,-1,-1,7.485988273
8000,64,8,8,1,59,7,8.974949493,8.974967922,k_loop,alloc,1,-1,101,0.000018429
8000,64,8,8,1,59,8,8.974968479,9.661509744,k_loop,recv,1,57,101,0.686541265
8000,64,8,8,1,59,9,9.662170788,9.662186052,k_loop,alloc,1,-1,201,0.000015264
8000,64,8,8,1,59,10,9.662187751,9.668813401,k_loop,recv,1,11,201,0.006625650
8000,64,8,8,1,59,11,9.668814672,17.188229835,k_loop,compute,1,-1,-1,7.519415163
8000,64,8,8,1,59,12,17.188251835,17.188252927,k_loop,alloc,2,-1,102,0.000001092
8000,64,8,8,1,59,13,17.188253495,17.517129841,k_loop,recv,2,58,102,0.328876346
8000,64,8,8,1,59,14,17.517132322,17.517133154,k_loop,alloc,2,-1,202,0.000000832
8000,64,8,8,1,59,15,17.517133598,17.615757468,k_loop,recv,2,19,202,0.098623870
8000,64,8,8,1,59,16,17.615759238,25.434724363,k_loop,compute,2,-1,-1,7.818965125
8000,64,8,8,1,59,17,25.434734157,25.445599561,k_loop,send,3,56,103,0.010865404
8000,64,8,8,1,59,18,25.445600196,25.450568008,k_loop,send,3,57,103,0.004967812
8000,64,8,8,1,59,19,25.450569170,25.662765879,k_loop,send,3,58,103,0.212196709
8000,64,8,8,1,59,20,25.662769198,25.667400860,k_loop,send,3,60,103,0.004631662
8000,64,8,8,1,59,21,25.667402156,25.672619045,k_loop,send,3,61,103,0.005216889
8000,64,8,8,1,59,22,25.672620116,25.677181915,k_loop,send,3,62,103,0.004561799
8000,64,8,8,1,59,23,25.677183254,25.681833707,k_loop,send,3,63,103,0.004650453
8000,64,8,8,1,59,24,25.681836612,25.681837930,k_loop,alloc,3,-1,203,0.000001318
8000,64,8,8,1,59,25,25.681838516,25.867315223,k_loop,recv,3,27,203,0.185476707
8000,64,8,8,1,59,26,25.867317381,33.687879610,k_loop,compute,3,-1,-1,7.820562229
8000,64,8,8,1,59,27,33.687888639,33.687889046,k_loop,alloc,4,-1,104,0.000000407
8000,64,8,8,1,59,28,33.687889482,33.692256428,k_loop,recv,4,60,104,0.004366946
8000,64,8,8,1,59,29,33.692258143,33.692258717,k_loop,alloc,4,-1,204,0.000000574
8000,64,8,8,1,59,30,33.692259229,34.191093062,k_loop,recv,4,35,204,0.498833833
8000,64,8,8,1,59,31,34.191100204,42.040212752,k_loop,compute,4,-1,-1,7.849112548
8000,64,8,8,1,59,32,42.040224806,42.040225051,k_loop,alloc,5,-1,105,0.000000245
8000,64,8,8,1,59,33,42.040225482,42.147759652,k_loop,recv,5,61,105,0.107534170
8000,64,8,8,1,59,34,42.147762677,42.147763664,k_loop,alloc,5,-1,205,0.000000987
8000,64,8,8,1,59,35,42.147777691,42.245560265,k_loop,recv,5,43,205,0.097782574
8000,64,8,8,1,59,36,42.245562711,50.152632940,k_loop,compute,5,-1,-1,7.907070229
8000,64,8,8,1,59,37,50.152660322,50.152661102,k_loop,alloc,6,-1,106,0.000000780
8000,64,8,8,1,59,38,50.152661792,50.229121963,k_loop,recv,6,62,106,0.076460171
8000,64,8,8,1,59,39,50.229124582,50.229125257,k_loop,alloc,6,-1,206,0.000000675
8000,64,8,8,1,59,40,50.229125838,50.409234563,k_loop,recv,6,51,206,0.180108725
8000,64,8,8,1,59,41,50.409236877,57.813765835,k_loop,compute,6,-1,-1,7.404528958
8000,64,8,8,1,59,42,57.813769767,57.813770383,k_loop,alloc,7,-1,107,0.000000616
8000,64,8,8,1,59,43,57.813770874,58.322780979,k_loop,recv,7,63,107,0.509010105
8000,64,8,8,1,59,44,58.322782629,58.326221694,k_loop,send,7,3,207,0.003439065
8000,64,8,8,1,59,45,58.326223058,58.329031184,k_loop,send,7,11,207,0.002808126
8000,64,8,8,1,59,46,58.329032554,58.592168913,k_loop,send,7,19,207,0.263136359
8000,64,8,8,1,59,47,58.592170682,58.594687119,k_loop,send,7,27,207,0.002516437
8000,64,8,8,1,59,48,58.594688474,58.596913144,k_loop,send,7,35,207,0.002224670
8000,64,8,8,1,59,49,58.596914456,58.599374408,k_loop,send,7,43,207,0.002459952
8000,64,8,8,1,59,50,58.599376127,58.603417240,k_loop,send,7,51,207,0.004041113
8000,64,8,8,1,59,51,58.603418686,66.173776818,k_loop,compute,7,-1,-1,7.570358132
8000,64,8,8,1,59,52,66.176834193,67.539773556,gather,send,-1,0,300,1.362939363
