N,p,Pr,Pc,rep,rank,seq,t_start,t_end,phase,kind,k,peer,tag,dur_sec
8000,8,4,2,1,1,0,0.000000000,0.180132533,scatter_a,recv,1,0,100,0.180132533
8000,8,4,2,1,1,1,0.180135720,1.271379364,scatter_b,recv,0,0,200,1.091243644
8000,8,4,2,1,1,2,1.271386171,1.271406574,k_loop,alloc,0,-1,100,0.000020403
8000,8,4,2,1,1,3,1.271407082,1.820780494,k_loop,recv,0,0,100,0.549373412
8000,8,4,2,1,1,4,1.820783610,1.900301518,k_loop,send,0,3,200,0.079517908
8000,8,4,2,1,1,5,1.900303779,1.976481902,k_loop,send,0,5,200,0.076178123
8000,8,4,2,1,1,6,1.976483997,2.045365980,k_loop,send,0,7,200,0.068881983
8000,8,4,2,1,1,7,2.045368540,233.242102284,k_loop,compute,0,-1,-1,231.196733744
8000,8,4,2,1,1,8,233.242113242,233.324345809,k_loop,send,1,0,101,0.082232567
8000,8,4,2,1,1,9,233.324346850,233.324373411,k_loop,alloc,1,-1,201,0.000026561
8000,8,4,2,1,1,10,233.324373982,235.395867596,k_loop,recv,1,3,201,2.071493614
8000,8,4,2,1,1,11,235.395870111,466.399438163,k_loop,compute,1,-1,-1,231.003568052
8000,8,4,2,1,1,12,466.426273619,466.518897481,gather,send,-1,0,300,0.092623862
