N,p,Pr,Pc,rep,rank,seq,t_start,t_end,phase,kind,k,peer,tag,dur_sec
8000,32,8,4,1,11,0,0.000000000,0.231772354,scatter_a,recv,3,0,100,0.231772354
8000,32,8,4,1,11,1,0.231774544,1.015895560,scatter_b,recv,2,0,200,0.784121016
8000,32,8,4,1,11,2,1.015898188,1.015913314,k_loop,alloc,0,-1,100,0.000015126
8000,32,8,4,1,11,3,1.015913720,1.024878173,k_loop,recv,0,8,100,0.008964453
8000,32,8,4,1,11,4,1.024879030,1.024889913,k_loop,alloc,0,-1,200,0.000010883
8000,32,8,4,1,11,5,1.024890328,1.269839461,k_loop,recv,0,3,200,0.244949133
8000,32,8,4,1,11,6,1.269844592,22.189236588,k_loop,compute,0,-1,-1,20.919391996
8000,32,8,4,1,11,7,22.190218488,22.190237165,k_loop,alloc,1,-1,101,0.000018677
8000,32,8,4,1,11,8,22.190238007,22.357912480,k_loop,recv,1,9,101,0.167674473
8000,32,8,4,1,11,9,22.359923012,22.359933444,k_loop,alloc,1,-1,201,0.000010432
8000,32,8,4,1,11,10,22.359934407,22.694537502,k_loop,recv,1,7,201,0.334603095
8000,32,8,4,1,11,11,22.694539426,43.755453031,k_loop,compute,1,-1,-1,21.060913605
8000,32,8,4,1,11,12,43.755474608,43.755475532,k_loop,alloc,2,-1,102,0.000000924
8000,32,8,4,1,11,13,43.755476045,43.983215112,k_loop,recv,2,10,102,0.227739067
8000,32,8,4,1,11,14,43.983216760,44.006880505,k_loop,send,2,3,202,0.023663745
8000,32,8,4,1,11,15,44.006881588,44.025558467,k_loop,send,2,7,202,0.018676879
8000,32,8,4,1,11,16,44.025559871,44.033150513,k_loop,send,2,15,202,0.007590642
8000,32,8,4,1,11,17,44.033151796,44.040757230,k_loop,send,2,19,202,0.007605434
8000,32,8,4,1,11,18,44.040758753,44.110520513,k_loop,send,2,23,202,0.069761760
8000,32,8,4,1,11,19,44.110522339,44.168627412,k_loop,send,2,27,202,0.058105073
8000,32,8,4,1,11,20,44.168628700,44.176245073,k_loop,send,2,31,202,0.007616373
8000,32,8,4,1,11,21,44.176245738,65.250783240,k_loop,compute,2,-1,-1,21.074537502
8000,32,8,4,1,11,22,65.250794344,65.269959515,k_loop,send,3,8,103,0.019165171
8000,32,8,4,1,11,23,65.269960219,65.276345442,k_loop,send,3,9,103,0.006385223
8000,32,8,4,1,11,24,65.276346315,65.284671827,k_loop,send,3,10,103,0.008325512
8000,32,8,4,1,11,25,65.284681063,65.284681940,k_loop,alloc,3,-1,203,0.000000877
8000,32,8,4,1,11,26,65.284682319,65.352526160,k_loop,recv,3,15,203,0.067843841
8000,32,8,4,1,11,27,65.352528041,86.404917222,k_loop,compute,3,-1,-1,21.052389181
8000,32,8,4,1,11,28,86.407801077,86.711679487,gather,send,-1,0,300,0.303878410
