impl,n,block,warmup,iters,mean_ms,std_ms,var_ms,min_ms,max_ms,mean_gflops
gemm_cublas,512,1,3,10,0.087757,0.001530,0.000002,0.084992,0.089088,3058.86
gemm_cublas,1024,1,3,10,0.436736,0.028551,0.000815,0.381952,0.455680,4917.12
gemm_cublas,2048,1,3,10,2.925056,0.003588,0.000013,2.918400,2.931712,5873.35
gemm_cublas,4096,1,3,10,20.524442,0.890190,0.792437,19.270657,21.163008,6696.36
gemm_cublas,8192,1,3,10,149.976067,0.072183,0.005210,149.853180,150.119431,7331.25
