N,p,Pr,Pc,rep,time_sec
8000,64,8,8,1,67.586572775
8000,32,8,4,1,87.118048510
8000,16,4,4,1,171.217813749
8000,8,4,2,1,468.080857631
8000,4,2,2,1,931.212651270
8000,2,2,1,1,5695.750465195
8000,1,1,1,1,4166.295603269
